state,cluster_2000,dist_1cs_2000,rank_1cs_2000,dist_own_2000,rank_own_2000,extremity_2000,rank_extremity_2000,cluster_2001,dist_1cs_2001,dist_1cs_delta_2001,rank_1cs_2001,rank_1cs_delta_2001,dist_own_2001,dist_own_delta_2001,rank_own_2001,extremity_2001,extremity_delta_2001,rank_extremity_2001,rank_extremity_delta_2001,cluster_2002,dist_1cs_2002,dist_1cs_delta_2002,rank_1cs_2002,rank_1cs_delta_2002,dist_own_2002,dist_own_delta_2002,rank_own_2002,extremity_2002,extremity_delta_2002,rank_extremity_2002,rank_extremity_delta_2002,cluster_2003,dist_1cs_2003,dist_1cs_delta_2003,rank_1cs_2003,rank_1cs_delta_2003,dist_own_2003,dist_own_delta_2003,rank_own_2003,extremity_2003,extremity_delta_2003,rank_extremity_2003,rank_extremity_delta_2003,cluster_2004,dist_1cs_2004,dist_1cs_delta_2004,rank_1cs_2004,rank_1cs_delta_2004,dist_own_2004,dist_own_delta_2004,rank_own_2004,extremity_2004,extremity_delta_2004,rank_extremity_2004,rank_extremity_delta_2004,cluster_2005,dist_1cs_2005,dist_1cs_delta_2005,rank_1cs_2005,rank_1cs_delta_2005,dist_own_2005,dist_own_delta_2005,rank_own_2005,extremity_2005,extremity_delta_2005,rank_extremity_2005,rank_extremity_delta_2005,cluster_2006,dist_1cs_2006,dist_1cs_delta_2006,rank_1cs_2006,rank_1cs_delta_2006,dist_own_2006,dist_own_delta_2006,rank_own_2006,extremity_2006,extremity_delta_2006,rank_extremity_2006,rank_extremity_delta_2006,cluster_2007,dist_1cs_2007,dist_1cs_delta_2007,rank_1cs_2007,rank_1cs_delta_2007,dist_own_2007,dist_own_delta_2007,rank_own_2007,extremity_2007,extremity_delta_2007,rank_extremity_2007,rank_extremity_delta_2007,cluster_2008,dist_1cs_2008,dist_1cs_delta_2008,rank_1cs_2008,rank_1cs_delta_2008,dist_own_2008,dist_own_delta_2008,rank_own_2008,extremity_2008,extremity_delta_2008,rank_extremity_2008,rank_extremity_delta_2008,cluster_2009,dist_1cs_2009,dist_1cs_delta_2009,rank_1cs_2009,rank_1cs_delta_2009,dist_own_2009,dist_own_delta_2009,rank_own_2009,extremity_2009,extremity_delta_2009,rank_extremity_2009,rank_extremity_delta_2009,cluster_2010,dist_1cs_2010,dist_1cs_delta_2010,rank_1cs_2010,rank_1cs_delta_2010,dist_own_2010,dist_own_delta_2010,rank_own_2010,extremity_2010,extremity_delta_2010,rank_extremity_2010,rank_extremity_delta_2010,cluster_2011,dist_1cs_2011,dist_1cs_delta_2011,rank_1cs_2011,rank_1cs_delta_2011,dist_own_2011,dist_own_delta_2011,rank_own_2011,extremity_2011,extremity_delta_2011,rank_extremity_2011,rank_extremity_delta_2011,cluster_2012,dist_1cs_2012,dist_1cs_delta_2012,rank_1cs_2012,rank_1cs_delta_2012,dist_own_2012,dist_own_delta_2012,rank_own_2012,extremity_2012,extremity_delta_2012,rank_extremity_2012,rank_extremity_delta_2012,cluster_2013,dist_1cs_2013,dist_1cs_delta_2013,rank_1cs_2013,rank_1cs_delta_2013,dist_own_2013,dist_own_delta_2013,rank_own_2013,extremity_2013,extremity_delta_2013,rank_extremity_2013,rank_extremity_delta_2013,cluster_2014,dist_1cs_2014,dist_1cs_delta_2014,rank_1cs_2014,rank_1cs_delta_2014,dist_own_2014,dist_own_delta_2014,rank_own_2014,extremity_2014,extremity_delta_2014,rank_extremity_2014,rank_extremity_delta_2014,cluster_2015,dist_1cs_2015,dist_1cs_delta_2015,rank_1cs_2015,rank_1cs_delta_2015,dist_own_2015,dist_own_delta_2015,rank_own_2015,extremity_2015,extremity_delta_2015,rank_extremity_2015,rank_extremity_delta_2015,cluster_2016,dist_1cs_2016,dist_1cs_delta_2016,rank_1cs_2016,rank_1cs_delta_2016,dist_own_2016,dist_own_delta_2016,rank_own_2016,extremity_2016,extremity_delta_2016,rank_extremity_2016,rank_extremity_delta_2016,cluster_2017,dist_1cs_2017,dist_1cs_delta_2017,rank_1cs_2017,rank_1cs_delta_2017,dist_own_2017,dist_own_delta_2017,rank_own_2017,extremity_2017,extremity_delta_2017,rank_extremity_2017,rank_extremity_delta_2017,cluster_2018,dist_1cs_2018,dist_1cs_delta_2018,rank_1cs_2018,rank_1cs_delta_2018,dist_own_2018,dist_own_delta_2018,rank_own_2018,extremity_2018,extremity_delta_2018,rank_extremity_2018,rank_extremity_delta_2018,cluster_2019,dist_1cs_2019,dist_1cs_delta_2019,rank_1cs_2019,rank_1cs_delta_2019,dist_own_2019,dist_own_delta_2019,rank_own_2019,extremity_2019,extremity_delta_2019,rank_extremity_2019,rank_extremity_delta_2019
Alabama,1,1.207754,26,.92086583,21,2.1521921,26,1,1.2318658,.024111748,24,-2,.92170328,.00083744526,19,2.2001076,.047915459,24,-2,1,1.227332,-.0045337677,20.5,-3.5,.91582453,-.0058787465,15.5,2.1954334,-.0046741962,20.5,-3.5,1,1.5669109,.33957887,38,17.5,1.3520105,.43618596,30,3.38573,1.1902966,45,24.5,1,1.5660517,-.00085914135,38,0,1.3528663,.00085580349,30,3.3878732,.0021431446,46,1,1,1.5607953,-.0052564144,35,-3,1.3551298,.002263546,28,3.4321301,.044256926,43,-3,1,1.5666654,.0058701038,33,-2,1.3248796,-.030250192,26.5,3.2958567,-.13627338,41,-2,1,1.5438297,-.022835732,32,-1,1.2326927,-.092186928,21.5,2.9484076,-.34744906,35,-6,1,1.4980764,-.045753241,30,-2,1.1664286,-.066264153,16,2.6459401,-.30246758,29,-6,1,1.5733691,.075292706,29,-1,1.1553018,-.011126757,14.5,2.8006046,.15466452,27,-2,1,1.6955398,.12217069,32,3,1.3403723,.18507051,18,3.0633299,.26272535,31,4,1,2.1666889,.47114909,46,14,1.7420557,.40168333,26,4.9783869,1.9150569,48,17,1,1.995935,-.17075396,42,-4,1.5550698,-.18698585,21,3.9230189,-1.0553679,41,-7,1,2.0405822,.044647217,44,2,1.6168358,.061766028,25,4.4412599,.51824093,45,4,1,2.0986805,.058098316,46,2,1.6105901,-.0062457323,21,4.4052329,-.036026955,43,-2,1,2.1215467,.022866249,45,-1,1.6045725,-.0060175657,20,4.4025335,-.0026993752,42,-1,1,2.1274283,.0058815479,45,0,1.6427294,.038156867,22,4.6585503,.25601673,44,2,1,1.9389223,-.18850601,41,-4,1.4312072,-.21152222,19.5,3.8455603,-.81298995,40,-4,1,2.0043445,.065422177,43,2,1.5065758,.075368643,20,4.2056227,.36006236,41,1,1,2.0358427,.031498194,42,-1,1.4995426,-.0070332289,20,4.2103996,.0047769547,40,-1
Alaska,1,.90089446,13,.58991003,5,1.2461244,5,1,.93297076,.032076299,11,-2,.59121656,.0013065338,5,1.281424,.035299659,5,0,1,.9269762,-.0059945583,4,-7,.58200908,-.0092074871,4,1.2680143,-.013409734,4,-1,1,.89897197,-.028004229,3.5,-.5,.57265353,-.009355545,3.5,1.1834841,-.084530234,3.5,-.5,1,.89747387,-.0014981031,3.5,0,.57467115,.0020176172,3.5,1.1876538,.0041697025,3.5,0,1,.91007644,.012602568,3.5,0,.61393601,.039264858,3.5,1.2899293,.10227549,3.5,0,1,.92010736,.010030925,3.5,0,.57160711,-.042328894,3.5,1.1698378,-.12009144,3.5,0,1,.94510007,.024992704,3,-.5,.51916397,-.052443147,3,1.0155168,-.15432107,3,-.5,1,.95441067,.0093106031,2,-1,.57203341,.052869439,2,1.0522596,.036742806,2,-1,1,1.0778519,.12344122,2,0,.57855183,.0065184236,2,1.1735497,.12129009,2,0,1,1.249452,.1716001,8,6,.89252311,.31397128,3,1.6894876,.51593792,3,1,1,1.3749977,.12554574,17,9,1.1334715,.24094838,8.5,2.2894633,.59997571,16,13,1,1.0862019,-.28879583,3,-14,.61217946,-.52129203,3,1.0488811,-1.2405822,3,-13,1,1.1492772,.063075304,5,2,.65998995,.047810495,3,1.3022381,.25335705,3,0,1,1.2573504,.10807323,7,2,.68847656,.028486609,3,1.373703,.071464896,3,0,1,1.295157,.037806511,7.5,.5,.7009418,.012465239,3,1.4100327,.036329746,3,0,1,1.3047689,.0096119642,8,.5,.79024404,.089302242,3,1.6529961,.24296331,3,0,1,1.3190192,.014250278,11,3,.77711606,-.013127983,3,1.6581829,.0051867962,3,0,1,1.4134318,.094412565,14,3,.87736565,.10024959,2,1.989195,.33101213,6,3,1,1.4577544,.04432261,14.5,.5,.89676291,.019397259,2.5,2.0482767,.059081674,5.5,-.5
Arizona,1,.88994551,4.5,.67757285,13.5,1.3768054,13.5,1,.92240262,.032457113,3.5,-1,.7184732,.04090035,12.5,1.4778754,.10106993,12.5,-1,1,.93749279,.015090168,10,6.5,.74897045,.030497253,10,1.5494822,.071606874,10,-2.5,1,.90981233,-.027680457,8.5,-1.5,.74172384,-.0072466135,8.5,1.4467313,-.1027509,8.5,-1.5,1,.90833211,-.0014802217,8.5,0,.74328262,.0015587807,8.5,1.4497716,.0030403137,8.5,0,1,1.6344346,.72610247,39,30.5,1.5329353,.78965265,32,3.7280724,2.2783008,47,38.5,1,1.6280414,-.0063931942,37.5,-1.5,1.4386077,-.094327569,30,3.5606561,-.16741633,44,-3,1,1.8340672,.20602584,41,3.5,1.5873032,.14869547,30,4.0988955,.53823948,45,1,1,1.9476274,.1135602,40,-1,1.7302855,.14298236,29,4.4365082,.33761263,45,0,1,1.8799771,-.067650318,39,-1,1.64359,-.086695552,29,4.1888862,-.24762201,43,-2,1,2.0127907,.13281357,43,4,1.7618996,.11830962,25,4.4093981,.22051191,42,-1,1,1.9272125,-.085578203,39,-4,1.5233096,-.23859,24,3.9905117,-.41888642,39,-3,1,1.7499106,-.17730188,36,-3,1.3612584,-.1620512,16.5,3.0891488,-.9013629,32,-7,1,1.8006684,.050757766,35,-1,1.3653419,.0040835142,16.5,3.4580998,.36895108,34,2,1,1.8662505,.065582156,36,1,1.3542525,-.011089444,14,3.427146,-.030953884,32,-2,1,1.8919282,.025677681,36,0,1.3507972,-.0034552813,14,3.4316757,.0045297146,31,-1,1,1.8985213,.0065931082,36,0,1.3992207,.048423529,17,3.6800039,.24832821,34,3,1,1.7530388,-.14548254,34,-2,1.418209,.018988252,18,3.4163682,-.26363564,32,-2,1,1.7483171,-.0047216415,30,-4,1.4336963,.015487313,18,3.4892075,.07283926,33,1,1,1.7622259,.013908744,32.5,2.5,1.4104499,-.023246408,17,3.4453723,-.043835163,32,-1
Arkansas,1,1.2555145,27,1.0345124,26,2.3881083,30,1,1.2787261,.023211598,25,-2,1.0352581,.00074565411,24,2.4420779,.053969622,28,-2,1,1.274359,-.0043671131,23.5,-1.5,1.0026969,-.032561183,19.5,2.4036856,-.038392305,26.5,-1.5,1,1.2541358,-.020223141,21,-2.5,.99729574,-.0054011345,16.5,2.2896814,-.11400414,24,-2.5,1,1.2373155,-.016820312,19,-2,.97023612,-.027059615,14,2.2275555,-.062125921,21,-3,1,1.5545013,.31718576,34,15,1.6517472,.6815111,35,3.2976956,1.0701401,40,19,1,1.5222304,-.032270908,30,-4,1.6251217,-.026625514,33,3.173558,-.12413764,39,-1,1,1.5627648,.040534377,34,4,1.6641909,.039069176,31,3.2327936,.059235573,38,-1,2,1.256012,-.3067528,11,-23,1.4969735,-.16721737,11,2.250721,-.98207259,17,-21,1,1.2737931,.017781138,7,-4,1.3789086,-.11806488,22,2.386534,.135813,13,-4,2,1.2842762,.010483146,9,2,1.4363846,.057475924,8,2.2396607,-.14687324,13,0,1,1.2827785,-.0014977455,9,0,1.3948017,-.041582823,19,2.3054521,.065791368,17,4,2,1.2846878,.001909256,13,4,1.4229802,.028178453,10,2.2620187,-.043433428,19,2,1,1.2918503,.007162571,14,1,1.3718656,-.051114559,18,2.3378394,.075820684,17,-2,1,1.331205,.039354682,12,-2,1.3870833,.015217662,16,2.3871975,.04935813,15,-2,1,1.3525503,.021345258,12,0,1.3812988,-.0057845116,15,2.4219716,.034774065,14,-1,1,1.3617573,.0092070103,13,1,1.348677,-.032621741,15,2.4701788,.048207283,15,1,1,1.3646833,.002925992,13,0,1.3201509,-.028526187,15,2.4810822,.010903358,16,1,1,1.2920363,-.072646976,6,-7,1.3370219,.016871095,16.5,2.381614,-.099468231,12,-4,1,1.3330449,.041008592,7,1,1.3603234,.023301482,16,2.4712803,.089666367,12,0
California,2,2.2639205,49,1.3888444,11,3.8072226,49,2,2.4228981,.15897751,50,1,1.702286,.31344163,15,4.8695111,1.0622885,50,1,2,2.4043405,-.018557549,50,0,1.6772994,-.024986625,15,4.7785411,-.090970039,50,0,2,2.2457614,-.15857911,50,0,1.5930403,-.084259033,14,4.2298608,-.54868031,49,-1,2,2.2451622,-.00059914589,50,0,1.5930403,0,14,4.2305551,.0006942749,49,0,2,2.2815981,.036435843,50,0,1.6213657,.028325319,14,4.3161159,.085560799,48,-1,2,2.2575645,-.024033546,50,0,1.5912971,-.030068517,13,4.2925916,-.023524284,48,0,2,2.2087345,-.048830032,50,0,1.6535031,.062205911,15,4.4581861,.16559458,48,0,2,2.2215781,.012843609,49,-1,1.7086549,.05515182,17,4.6774373,.21925116,47,-1,2,2.2643876,.042809486,48,-1,1.7478527,.039197803,15,4.8871331,.20969582,48,1,2,2.1777289,-.086658716,49,1,1.7757252,.027872562,18,4.846931,-.040202141,48,0,2,2.5693197,.39159083,51,2,2.2075655,.4318403,23,6.7007265,1.8537955,51,3,2,2.5626335,-.0066862106,51,0,2.2693331,.061767578,28,7.0403342,.33960772,51,0,2,2.7657313,.20309782,51,0,2.3386497,.069316626,23,7.6383781,.59804392,51,0,2,2.6802745,-.085456848,51,0,2.3122551,-.026394606,26,7.4868522,-.15152597,51,0,2,2.6468589,-.033415556,51,0,2.3014429,-.010812283,27,7.4247785,-.062073708,51,0,2,2.7850213,.13816237,51,0,2.3674037,.065960884,24,7.8400307,.41525221,51,0,2,2.751044,-.03397727,51,0,2.307333,-.060070753,24,7.6274662,-.21256447,51,0,2,2.674818,-.076225996,51,0,2.1692343,-.13809872,23,7.0357366,-.59172964,51,0,2,2.6397321,-.035085917,51,0,2.1718688,.0026345253,24,7.0029807,-.032755852,51,0
Colorado,1,1.0881912,24,1.1368545,27,2.1153507,25,1,1.0971636,.0089724064,22,-2,1.1128459,-.024008632,25.5,2.1399589,.024608135,22,-3,1,1.0920706,-.0050929785,19,-3,1.1079817,-.0048642159,24.5,2.1446433,.0046844482,19,-3,1,1.0684026,-.023667932,16,-3,1.1030961,-.0048855543,23.5,1.9950832,-.14956009,16,-3,1,1.0671424,-.0012602806,15,-1,1.1041448,.0010486841,22,1.99698,.001896739,15,-1,1,1.0777626,.010620236,14,-1,1.1021594,-.0019854307,19.5,2.0366228,.039642811,15,0,1,1.1540761,.076313496,13,-1,1.1733433,.07118392,22,2.1757457,.13912296,14,-1,1,1.4163189,.26224279,25,12,1.3764197,.20307636,25,2.7789288,.60318303,29,15,1,1.3372923,-.07902658,18,-7,1.333125,-.043294668,24,2.473768,-.30516076,24,-5,1,1.3755569,.038264632,13,-5,1.2522203,-.080904722,17,2.5437083,.069940329,16,-8,1,1.4909376,.11538064,23,10,1.4898572,.23763692,21,2.7685702,.22486186,27,11,1,1.3296878,-.16124976,12,-11,1.1797884,-.31006885,11,2.2625172,-.50605297,15,-12,1,1.3534384,.023750544,19,7,1.3810766,.20128822,18,2.3373098,.074792624,20,5,1,1.3905334,.03709507,17,-2,1.531764,.15068746,24,2.6200793,.28276944,23,3,2,1.5105995,.12006605,23,6,1.6814556,.14969158,15,2.9624176,.34233832,26,3,2,1.4572268,-.053372741,19.5,-3.5,1.4143348,-.26712084,10,2.7356756,-.22674203,24,-2,2,1.4387735,-.01845324,18,-1.5,1.443526,.029191256,10,2.6444387,-.09123683,22,-2,2,1.3152976,-.12347591,9,-9,1.4255238,-.018002272,9,2.3964627,-.24797606,15,-7,2,1.3014867,-.013810873,7,-2,1.5069153,.081391573,12,2.4173391,.020876408,13,-2,2,1.5219147,.22042799,21,14,1.4463795,-.060535789,8,2.8721006,.45476151,20,7
Connecticut,2,1.8911153,44,1.0306417,1.5,2.4565895,32,2,1.885924,-.0051913261,42,-2,1.1392004,.10855877,1.5,2.6890342,.23244476,36,4,2,1.8933502,.0074262619,42,0,1.1604596,.021259189,1.5,2.7501945,.061160326,35,-1,2,1.7332712,-.160079,42,0,1.1566234,-.0038362741,4.5,2.4971457,-.2530489,31,-4,2,1.7437756,.010504365,42,0,1.1566234,0,4.5,2.512599,.015453339,30,-1,2,1.7502952,.006519556,41,-1,1.1893446,.032721281,4.5,2.5489557,.036356688,28,-2,2,1.7555317,.0052365065,41,0,1.199365,.010020375,4,2.6388814,.089925766,29,1,2,1.7576382,.0021065474,39,-2,1.2289784,.029613376,5.5,2.7875144,.148633,30,1,2,1.8066102,.048972011,39,0,1.3638098,.13483143,6,3.1674139,.3798995,36,6,2,1.7781353,-.028474927,36,-3,1.3870964,.023286581,6.5,3.1836979,.016283989,32,-4,2,1.7856599,.0075246096,35,-1,1.5043937,.11729729,10,3.4496686,.26597071,34,2,2,1.7230932,-.062566757,34.5,-.5,1.2994472,-.20494652,5,2.9669907,-.48267794,30,-4,2,1.7273552,.0042620897,35,.5,1.4662443,.16679716,12,3.3854959,.41850519,37,7,2,2.0309505,.3035953,43,8,1.5954212,.12917686,12,4.1141677,.72867179,40,3,2,1.9333372,-.097613335,39,-4,1.538101,-.057320237,12,3.9376585,-.17650914,37,-3,2,1.9074109,-.025926352,37,-2,1.530665,-.0074359179,14,3.9247913,-.012867212,37,0,2,1.9139504,.0065395832,38,1,1.4861923,-.044472694,11,3.7167041,-.20808721,35,-2,2,1.9031985,-.010751963,39,1,1.4472796,-.038912773,10,3.645493,-.0712111,36,1,2,1.8570863,-.04611218,37,-2,1.4329698,-.014309764,9,3.4949021,-.1505909,34,-2,2,1.8384639,-.018622398,37,0,1.4607124,.027742624,9.5,3.5526543,.057752132,34,0
Delaware,2,1.4238319,32.5,1.2364824,4,2.2436066,28.5,2,1.4169296,-.0069023371,31,-1.5,1.2771496,.040667176,6,2.2983108,.054704189,25,-3.5,2,1.4267991,.0098694563,31,0,1.2961482,.018998623,5,2.3485613,.05025053,23,-2,2,1.4226162,-.0041828156,33,2,1.1566234,-.13952482,4.5,2.0922983,-.25626302,20,-3,2,1.42167,-.00094628334,31,-2,1.1566234,0,4.5,2.0930381,.00073981285,18,-2,2,1.4296591,.0079891682,28,-3,1.1893446,.032721281,4.5,2.123481,.030442953,16,-2,2,1.4223459,-.0073132515,27,-1,1.2503905,.061045885,6,2.2510574,.12757635,20,4,2,1.4249452,.0025993586,26,-1,1.1853795,-.065011024,4,2.2238209,-.027236462,22,2,2,1.4716662,.046720982,29,3,1.2546964,.069316864,3,2.4223185,.19849753,21,-1,2,1.6404805,.1688143,31,2,1.518219,.26352262,8,3.1119373,.68961883,30,9,2,1.6486337,.0081532001,31,0,1.49104,-.027179003,9,3.1182065,.0062692165,32,2,2,1.417133,-.23150074,18,-13,1.3805631,-.11047685,8,2.5021191,-.61608744,21,-11,2,1.1476452,-.26948774,7,-11,1.0723211,-.30824208,2,1.8112466,-.69087243,8,-13,2,1.1911664,.043521166,8,1,1.2945282,.22220719,5,2.0202882,.2090416,10,2,2,1.2337369,.042570472,3.5,-4.5,1.351774,.057245731,7,2.1771536,.15686536,11,1,2,1.4110837,.17734683,15.5,12,1.4044803,.052706361,8.5,2.6242816,.44712806,20.5,9.5,2,1.4060341,-.0050495863,16.5,1,1.429021,.024540663,8,2.5631227,-.061158895,19.5,-1,2,1.4933211,.087286949,22.5,6,1.3885069,-.040514112,7,2.7291028,.1659801,22.5,3,2,1.4340895,-.05923152,17.5,-5,1.4177181,.029211164,7.5,2.6326616,-.096441269,18.5,-4,2,1.3440315,-.090058088,8.5,-9,1.4607124,.04299438,9.5,2.5059085,-.12675309,14,-4.5
D.C.,1,.88994551,4.5,.67757285,13.5,1.3768054,13.5,2,2.0929017,1.2029562,46,41.5,1.6220701,.94449723,14,4.0333385,2.6565332,48,34.5,2,2.0902364,-.0026652813,44,-2,1.5958279,-.026242137,14,3.9824219,-.050916672,48,0,2,2.0873835,-.0028529167,48.5,4.5,1.4847373,-.11109066,11,3.701978,-.28044391,48,0,2,2.0867388,-.00064468384,48,-.5,1.4847373,0,11,3.7026668,.00068879128,48,0,2,2.0827971,-.0039417744,48,0,1.4590499,-.025687337,10,3.5975626,-.10510421,45,-3,2,2.0588236,-.023973465,48,0,1.5210117,.06196177,11,3.7648451,.16728258,46,1,2,2.0510826,-.0077409744,46,-2,1.5508466,.029834867,12,3.9216895,.15684438,43,-3,2,2.0743811,.023298502,45,-1,1.6044511,.053604484,15,4.1407752,.21908569,43,0,2,2.0400405,-.03434062,45,0,1.6819031,.077452064,13,4.2331605,.092385292,44,1,2,2.1448417,.10480118,47,2,1.8174708,.13556767,19,4.817966,.58480549,47,3,2,2.2466602,.10181856,49,2,1.9653186,.14784777,20,5.2783823,.46041632,50,3,2,2.2542841,.0076239109,50,1,1.9748095,.0094909668,27,5.5340576,.25567532,50,0,2,2.3571448,.10286069,50,0,2.0381522,.06334269,22,5.7415099,.2074523,50,0,2,2.2735801,-.083564758,49,-1,1.975909,-.062243223,25,5.544529,-.19698095,50,0,2,2.2428493,-.030730724,49,0,1.9461192,-.029789805,25,5.4727092,-.071819782,49,-1,2,2.2309039,-.011945486,49,0,1.8597761,-.08634305,20,5.1353016,-.33740759,50,1,2,2.3998792,.16897535,50,1,1.8738422,.0140661,19.5,5.6596332,.52433157,49,-1,2,2.3300562,-.069823027,50,0,1.7721059,-.10173631,18,5.2157226,-.4439106,49,0,2,2.2896934,-.040362835,49,-1,1.7465243,-.025581598,18,5.1274691,-.088253498,49,0
Florida,1,.90089446,13,.58991003,5,1.2461244,5,1,.93297076,.032076299,11,-2,.59121656,.0013065338,5,1.281424,.035299659,5,0,1,1.3490994,.41612864,29,18,1.1327751,.5415585,27,2.7155118,1.4340878,34,29,1,1.3151881,-.033911347,27,-2,1.1030961,-.029678941,23.5,2.5325875,-.18292427,32,-2,1,1.3141645,-.001023531,24.5,-2.5,1.1041448,.0010486841,22,2.5349951,.0024075508,31,-1,1,1.3078961,-.0062683821,24,-.5,1.1021594,-.0019854307,19.5,2.5646331,.029638052,29,-2,1,1.3148956,.0069994926,24,0,1.0748518,-.02730763,15,2.4483218,-.11631131,27,-2,1,1.2876023,-.027293324,19,-5,.94579661,-.12905514,11.5,2.0777791,-.37054276,15,-12,1,1.2323728,-.055229545,10,-9,.87209833,-.073698282,4,1.7959573,-.28182173,6,-9,1,1.4702941,.23792136,21,11,1.1553018,.28320348,14.5,2.6127481,.81679082,19,13,1,1.3329728,-.13732135,13,-8,.93462318,-.22067863,4,1.8559272,-.75682092,7,-12,1,1.3516262,.018653393,15.5,2.5,.86547303,-.06915015,3.5,1.854363,-.0015642643,5.5,-1.5,1,1.3891848,.037558675,21,5.5,.99716049,.13168746,7,1.9419634,.08760047,12,6.5,1,1.1787559,-.21042895,7,-14,.6993984,-.2977621,5,1.3953218,-.54664159,5,-7,1,1.3888735,.21011758,14,7,1.2899613,.59056294,12,2.4200447,1.0247228,16,11,1,1.4231904,.034316897,17.5,3.5,1.2876282,-.0023331642,11,2.4657357,.045691013,16,0,1,1.3545387,-.068651676,12,-5.5,1.4480015,.16037333,18,2.5081935,.042457819,17,1,1,1.4900348,.13549614,21,9,1.5788599,.13085842,23,2.9320858,.42389226,28,11,1,1.4910665,.0010316372,22,1,1.5590013,-.019858599,22,2.965637,.033551216,26,-2,1,1.6034732,.11240673,25,3,1.5331277,-.025873661,21,3.2251656,.25952864,29,3
