"FIPS"	"Geographic Identifier"	"Name of Area"	"Qualifying Name"	"State/U.S.-Abbreviation (USPS)"	"Summary Level"	"Geographic Component"	"File Identification"	"Logical Record Number"	"US"	"Region"	"Division"	"State (Census Code)"	"State (FIPS)"	"County"	"County Subdivision (FIPS)"	"Place (FIPS Code)"	"Place (State FIPS + Place FIPS)"	"Census Tract"	"Block Group"	"Consolidated City"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)"	"American Indian Trust Land/Hawaiian Home Land Indicator"	"American Indian Tribal Subdivision (Census)"	"American Indian Tribal Subdivision (FIPS)"	"Alaska Native Regional Corporation (FIPS)"	"Metropolitan and Micropolitan Statistical Area"	"Combined Statistical Area"	"Metropolitan Division"	"Metropolitan Area Central City"	"Metropolitan/Micropolitan Indicator Flag"	"New England City and Town Combined Statistical Area"	"New England City and Town Area"	"New England City and Town Area Division"	"Urban Area"	"Urban Area Central Place"	"Current Congressional District 110"	"State Legislative District Upper"	"State Legislative District Lower"	"Voting District"	"ZIP Code Tabulation Area (3-digit)"	"ZIP Code Tabulation Area (5-digit)"	"Subbarrio (FIPS)"	"School District (Elementary)"	"School District (Secondary)"	"School District (Unified)"	"Urban/Rural"	"Principal City Indicator"	"Traffic Analysis Zone"	"Urban Growth Area"	"Public Use Microdata Area - 5% File"	"Public Use Microdata Area - 1% File"	"Total Population"	"Total Population"	"Total Population: Not Hispanic or Latino"	"Total Population: Not Hispanic or Latino: White Alone"	"Total Population: Not Hispanic or Latino: Black or African American Alone"	"Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Not Hispanic or Latino: Asian Alone"	"Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Not Hispanic or Latino: Some Other Race Alone"	"Total Population: Not Hispanic or Latino: Two or More Races"	"Total Population: Hispanic or Latino"	"Total Population: Hispanic or Latino: White Alone"	"Total Population: Hispanic or Latino: Black or African American Alone"	"Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Hispanic or Latino: Asian Alone"	"Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Hispanic or Latino: Some Other Race Alone"	"Total Population: Hispanic or Latino: Two or More Races"	"% Total Population: Not Hispanic or Latino"	"% Total Population: Not Hispanic or Latino: White Alone"	"% Total Population: Not Hispanic or Latino: Black or African American Alone"	"% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Not Hispanic or Latino: Asian Alone"	"% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Not Hispanic or Latino: Some Other Race Alone"	"% Total Population: Not Hispanic or Latino: Two or More Races"	"% Total Population: Hispanic or Latino"	"% Total Population: Hispanic or Latino: White Alone"	"% Total Population: Hispanic or Latino: Black or African American Alone"	"% Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Hispanic or Latino: Asian Alone"	"% Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Hispanic or Latino: Some Other Race Alone"	"% Total Population: Hispanic or Latino: Two or More Races"	"Total Population:"	"Total Population: White Alone"	"Total Population: Black or African American Alone"	"Total Population: American Indian and Alaska Native Alone"	"Total Population: Asian Alone"	"Total Population: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Some Other Race Alone"	"Total Population: Two or More Races"	"% Total Population: White Alone"	"% Total Population: Black or African American Alone"	"% Total Population: American Indian and Alaska Native Alone"	"% Total Population: Asian Alone"	"% Total Population: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Some Other Race Alone"	"% Total Population: Two or More Races"	"Civilian Population in Labor Force 16 Years and Over:"	"Civilian Population in Labor Force 16 Years and Over: Employed"	"Civilian Population in Labor Force 16 Years and Over: Unemployed"	"% Civilian Population in Labor Force 16 Years and Over: Employed"	"% Civilian Population in Labor Force 16 Years and Over: Unemployed"	"Total Population:"	"Total Population: Native Born"	"Total Population: Foreign Born"	"Total Population: Foreign Born: Naturalized Citizen"	"Total Population: Foreign Born: Not a Citizen"	"% Total Population: Native Born"	"% Total Population: Foreign Born"	"% Total Population: Foreign Born: Naturalized Citizen"	"% Total Population: Foreign Born: Not a Citizen"	"Total Population:"	"Total Population: Under 5 Years"	"Total Population: 5 to 9 Years"	"Total Population: 10 to 14 Years"	"Total Population: 15 to 17 Years"	"Total Population: 18 to 24 Years"	"Total Population: 25 to 34 Years"	"Total Population: 35 to 44 Years"	"Total Population: 45 to 54 Years"	"Total Population: 55 to 64 Years"	"Total Population: 65 to 74 Years"	"Total Population: 75 to 84 Years"	"Total Population: 85 Years and Over"	"% Total Population: Under 5 Years"	"% Total Population: 5 to 9 Years"	"% Total Population: 10 to 14 Years"	"% Total Population: 15 to 17 Years"	"% Total Population: 18 to 24 Years"	"% Total Population: 25 to 34 Years"	"% Total Population: 35 to 44 Years"	"% Total Population: 45 to 54 Years"	"% Total Population: 55 to 64 Years"	"% Total Population: 65 to 74 Years"	"% Total Population: 75 to 84 Years"	"% Total Population: 85 Years and Over"	"Population Age 18 to 64 for Whom Poverty Status  Is Determined:"	"Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty"	"Population Age 18 to 64 for Whom Poverty Status  Is Determined: At or Above Poverty Level"	"% Population Age 18 to 64 for Whom Poverty Status  Is Determined: Living in Poverty"	"% Population Age 18 to 64 for Whom Poverty Status  Is Determined: At or Above Poverty Level"
Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	SE_A00001_001	SE_A04001_001	SE_A04001_002	SE_A04001_003	SE_A04001_004	SE_A04001_005	SE_A04001_006	SE_A04001_007	SE_A04001_008	SE_A04001_009	SE_A04001_010	SE_A04001_011	SE_A04001_012	SE_A04001_013	SE_A04001_014	SE_A04001_015	SE_A04001_016	SE_A04001_017	PCT_SE_A04001_002	PCT_SE_A04001_003	PCT_SE_A04001_004	PCT_SE_A04001_005	PCT_SE_A04001_006	PCT_SE_A04001_007	PCT_SE_A04001_008	PCT_SE_A04001_009	PCT_SE_A04001_010	PCT_SE_A04001_011	PCT_SE_A04001_012	PCT_SE_A04001_013	PCT_SE_A04001_014	PCT_SE_A04001_015	PCT_SE_A04001_016	PCT_SE_A04001_017	SE_A03001_001	SE_A03001_002	SE_A03001_003	SE_A03001_004	SE_A03001_005	SE_A03001_006	SE_A03001_007	SE_A03001_008	PCT_SE_A03001_002	PCT_SE_A03001_003	PCT_SE_A03001_004	PCT_SE_A03001_005	PCT_SE_A03001_006	PCT_SE_A03001_007	PCT_SE_A03001_008	SE_A17005_001	SE_A17005_002	SE_A17005_003	PCT_SE_A17005_002	PCT_SE_A17005_003	SE_A06001_001	SE_A06001_002	SE_A06001_003	SE_A06001_004	SE_A06001_005	PCT_SE_A06001_002	PCT_SE_A06001_003	PCT_SE_A06001_004	PCT_SE_A06001_005	SE_A01001_001	SE_A01001_002	SE_A01001_003	SE_A01001_004	SE_A01001_005	SE_A01001_006	SE_A01001_007	SE_A01001_008	SE_A01001_009	SE_A01001_010	SE_A01001_011	SE_A01001_012	SE_A01001_013	PCT_SE_A01001_002	PCT_SE_A01001_003	PCT_SE_A01001_004	PCT_SE_A01001_005	PCT_SE_A01001_006	PCT_SE_A01001_007	PCT_SE_A01001_008	PCT_SE_A01001_009	PCT_SE_A01001_010	PCT_SE_A01001_011	PCT_SE_A01001_012	PCT_SE_A01001_013	SE_A13003B_001	SE_A13003B_002	SE_A13003B_003	PCT_SE_A13003B_002	PCT_SE_A13003B_003
"01"	"04000US01"	"Alabama"	"Alabama"	"al"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4833722	4833722	4643788	3204524	1280260	20028	58072	1185	6661	73058	189934	125954	3842	2431	552	336	48123	8696	96.07	66.3	26.49	0.41	1.2	0.02	0.14	1.51	3.93	2.61	0.08	0.05	0.01	0.01	1	0.18	4833722	3330478	1284102	22459	58624	1521	54784	81754	68.9	26.57	0.46	1.21	0.03	1.13	1.69	2225202	2010934	214268	90.37	9.63	4833722	4671496	162226	59782	102444	96.64	3.36	1.24	2.12	4833722	292354	302298	328072	187167	498384	612773	608333	660842	621961	419711	218808	83019	6.05	6.25	6.79	3.87	10.31	12.68	12.59	13.67	12.87	8.68	4.53	1.72	2919552	511391	2408161	17.52	82.48
"02"	"04000US02"	"Alaska"	"Alaska"	"ak"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	735132	735132	686631	459168	24556	101922	41520	8673	383	50409	48501	28594	521	3388	255	121	9125	6497	93.4	62.46	3.34	13.86	5.65	1.18	0.05	6.86	6.6	3.89	0.07	0.46	0.03	0.02	1.24	0.88	735132	487762	25077	105310	41775	8794	9508	56906	66.35	3.41	14.33	5.68	1.2	1.29	7.74	386509	352822	33687	91.28	8.72	735132	684372	50760	28509	22251	93.1	6.9	3.88	3.03	735132	54705	50862	53186	29613	84107	114008	89946	101153	91968	43156	16856	5572	7.44	6.92	7.23	4.03	11.44	15.51	12.24	13.76	12.51	5.87	2.29	0.76	469111	41288	427823	8.8	91.2
"04"	"04000US04"	"Arizona"	"Arizona"	"az"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	6626624	6626624	4621510	3750664	263161	258758	187791	12209	7247	141680	2005114	1482802	14812	29536	3927	400	403509	70128	69.74	56.6	3.97	3.9	2.83	0.18	0.11	2.14	30.26	22.38	0.22	0.45	0.06	0.01	6.09	1.06	6626624	5233466	277973	288294	191718	12609	410756	211808	78.98	4.19	4.35	2.89	0.19	6.2	3.2	3065156	2791546	273610	91.07	8.93	6626624	5730314	896310	342265	554045	86.47	13.53	5.16	8.36	6626624	430081	461694	453760	270427	665925	880940	832886	834747	777440	589406	311306	118012	6.49	6.97	6.85	4.08	10.05	13.29	12.57	12.6	11.73	8.89	4.7	1.78	3880768	695810	3184958	17.93	82.07
"05"	"04000US05"	"Arkansas"	"Arkansas"	"ar"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2959373	2959373	2756262	2178091	461229	16227	38747	596	2745	58627	203111	127635	2699	1477	463	32	64208	6597	93.14	73.6	15.59	0.55	1.31	0.02	0.09	1.98	6.86	4.31	0.09	0.05	0.02	0	2.17	0.22	2959373	2305726	463928	17704	39210	628	66953	65224	77.91	15.68	0.6	1.32	0.02	2.26	2.2	1351145	1241828	109317	91.91	8.09	2959373	2825485	133888	43677	90211	95.48	4.52	1.48	3.05	2959373	190202	210050	195242	116128	287248	383853	367589	388763	366756	260847	140018	52677	6.43	7.1	6.6	3.92	9.71	12.97	12.42	13.14	12.39	8.81	4.73	1.78	1737929	316939	1420990	18.24	81.76
"06"	"04000US06"	"California"	"California"	"ca"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	38332521	38332521	23613194	14884539	2167357	139821	5147620	132957	81088	1059812	14719327	8856480	101664	138556	62616	9825	4880288	669898	61.6	38.83	5.65	0.36	13.43	0.35	0.21	2.76	38.4	23.1	0.27	0.36	0.16	0.03	12.73	1.75	38332521	23741019	2269021	278377	5210236	142782	4961376	1729710	61.93	5.92	0.73	13.59	0.37	12.94	4.51	19046186	17132696	1913490	89.95	10.05	38332521	28021321	10311200	5006979	5304221	73.1	26.9	13.06	13.84	38332521	2500565	2559235	2539869	1574515	4011105	5582572	5159912	5207404	4403236	2692906	1427597	673605	6.52	6.68	6.63	4.11	10.46	14.56	13.46	13.58	11.49	7.03	3.72	1.76	23866742	3719280	20147462	15.58	84.42
"08"	"04000US08"	"Colorado"	"Colorado"	"co"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5268367	5268367	4159942	3643026	197241	25441	147767	6619	11244	128604	1108425	772826	12314	18172	3085	1696	239904	60428	78.96	69.15	3.74	0.48	2.8	0.13	0.21	2.44	21.04	14.67	0.23	0.34	0.06	0.03	4.55	1.15	5268367	4415852	209555	43613	150852	8315	251148	189032	83.82	3.98	0.83	2.86	0.16	4.77	3.59	2789491	2593798	195693	92.98	7.02	5268367	4767733	500634	197600	303034	90.5	9.5	3.75	5.75	5268367	333573	349279	360838	197635	512807	776660	720347	715100	657185	382712	187498	74733	6.33	6.63	6.85	3.75	9.73	14.74	13.67	13.57	12.47	7.26	3.56	1.42	3296266	414460	2881806	12.57	87.43
"09"	"04000US09"	"Connecticut"	"Connecticut"	"ct"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3596080	3596080	3068917	2493100	345880	4129	145945	545	10585	68733	527163	285581	25118	3889	1625	0	174756	36194	85.34	69.33	9.62	0.11	4.06	0.02	0.29	1.91	14.66	7.94	0.7	0.11	0.05	0	4.86	1.01	3596080	2778681	370998	8018	147570	545	185341	104927	77.27	10.32	0.22	4.1	0.02	5.15	2.92	1951694	1771141	180553	90.75	9.25	3596080	3096437	499643	244730	254913	86.11	13.89	6.81	7.09	3596080	190746	219926	230077	144593	345423	439149	448157	556065	477438	293384	159188	91934	5.3	6.12	6.4	4.02	9.61	12.21	12.46	15.46	13.28	8.16	4.43	2.56	2188686	222573	1966113	10.17	89.83
"10"	"04000US10"	"Delaware"	"Delaware"	"de"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	925749	925749	844805	592064	192945	3137	32952	326	1746	21635	80944	45542	7304	818	687	515	21283	4795	91.26	63.96	20.84	0.34	3.56	0.04	0.19	2.34	8.74	4.92	0.79	0.09	0.07	0.06	2.3	0.52	925749	637606	200249	3955	33639	841	23029	26430	68.87	21.63	0.43	3.63	0.09	2.49	2.85	470708	430247	40461	91.4	8.6	925749	848981	76768	34625	42143	91.71	8.29	3.74	4.55	925749	56235	57145	57557	32751	92331	119039	111785	130801	121160	86005	43225	17715	6.07	6.17	6.22	3.54	9.97	12.86	12.08	14.13	13.09	9.29	4.67	1.91	556643	64934	491709	11.67	88.33
"11"	"04000US11"	"District of Columbia"	"District of Columbia"	"dc"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	646449	646449	580889	230264	310129	857	22222	104	1205	16108	65560	33816	5375	415	741	0	20476	4737	89.86	35.62	47.97	0.13	3.44	0.02	0.19	2.49	10.14	5.23	0.83	0.06	0.11	0	3.17	0.73	646449	264080	315504	1272	22963	104	21681	20845	40.85	48.81	0.2	3.55	0.02	3.35	3.22	371969	333111	38858	89.55	10.45	646449	553630	92819	38038	54781	85.64	14.36	5.88	8.47	646449	41061	32187	23091	15193	81903	144746	89855	76302	68150	41083	22429	10449	6.35	4.98	3.57	2.35	12.67	22.39	13.9	11.8	10.54	6.36	3.47	1.62	431055	73367	357688	17.02	82.98
