"FIPS"	"Geographic Identifier"	"Name of Area"	"Qualifying Name"	"State/U.S.-Abbreviation (USPS)"	"Summary Level"	"Geographic Component"	"File Identification"	"Logical Record Number"	"US"	"Region"	"Division"	"State (Census Code)"	"State (FIPS)"	"County"	"County Subdivision (FIPS)"	"Place (FIPS Code)"	"Place (State FIPS + Place FIPS)"	"Census Tract"	"Block Group"	"Consolidated City"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)"	"American Indian Trust Land/Hawaiian Home Land Indicator"	"American Indian Tribal Subdivision (Census)"	"American Indian Tribal Subdivision (FIPS)"	"Alaska Native Regional Corporation (FIPS)"	"Metropolitan and Micropolitan Statistical Area"	"Combined Statistical Area"	"Metropolitan Division"	"Metropolitan Area Central City"	"Metropolitan/Micropolitan Indicator Flag"	"New England City and Town Combined Statistical Area"	"New England City and Town Area"	"New England City and Town Area Division"	"Urban Area"	"Urban Area Central Place"	"Current Congressional District 111"	"State Legislative District Upper"	"State Legislative District Lower"	"Voting District"	"ZIP Code Tabulation Area (3-digit)"	"ZIP Code Tabulation Area (5-digit)"	"Subbarrio (FIPS)"	"School District (Elementary)"	"School District (Secondary)"	"School District (Unified)"	"Urban/Rural"	"Principal City Indicator"	"Traffic Analysis Zone"	"Urban Growth Area"	"Public Use Microdata Area - 5% File"	"Public Use Microdata Area - 1% File"	"Total Population"	"Total Population"	"Total Population: Not Hispanic or Latino"	"Total Population: Not Hispanic or Latino: White Alone"	"Total Population: Not Hispanic or Latino: Black or African American Alone"	"Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Not Hispanic or Latino: Asian Alone"	"Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Not Hispanic or Latino: Some Other Race Alone"	"Total Population: Not Hispanic or Latino: Two or More Races"	"Total Population: Hispanic or Latino"	"Total Population: Hispanic or Latino: White Alone"	"Total Population: Hispanic or Latino: Black or African American Alone"	"Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Hispanic or Latino: Asian Alone"	"Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Hispanic or Latino: Some Other Race Alone"	"Total Population: Hispanic or Latino: Two or More Races"	"% Total Population: Not Hispanic or Latino"	"% Total Population: Not Hispanic or Latino: White Alone"	"% Total Population: Not Hispanic or Latino: Black or African American Alone"	"% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Not Hispanic or Latino: Asian Alone"	"% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Not Hispanic or Latino: Some Other Race Alone"	"% Total Population: Not Hispanic or Latino: Two or More Races"	"% Total Population: Hispanic or Latino"	"% Total Population: Hispanic or Latino: White Alone"	"% Total Population: Hispanic or Latino: Black or African American Alone"	"% Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Hispanic or Latino: Asian Alone"	"% Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Hispanic or Latino: Some Other Race Alone"	"% Total Population: Hispanic or Latino: Two or More Races"	"Total Population:"	"Total Population: White Alone"	"Total Population: Black or African American Alone"	"Total Population: American Indian and Alaska Native Alone"	"Total Population: Asian Alone"	"Total Population: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Some Other Race Alone"	"Total Population: Two or More Races"	"% Total Population: White Alone"	"% Total Population: Black or African American Alone"	"% Total Population: American Indian and Alaska Native Alone"	"% Total Population: Asian Alone"	"% Total Population: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Some Other Race Alone"	"% Total Population: Two or More Races"	"Civilian Population in Labor Force 16 Years and Over:"	"Civilian Population in Labor Force 16 Years and Over: Employed"	"Civilian Population in Labor Force 16 Years and Over: Unemployed"	"% Civilian Population in Labor Force 16 Years and Over: Employed"	"% Civilian Population in Labor Force 16 Years and Over: Unemployed"	"Total Population:"	"Total Population: Native Born"	"Total Population: Foreign Born"	"Total Population: Foreign Born: Naturalized Citizen"	"Total Population: Foreign Born: Not a Citizen"	"% Total Population: Native Born"	"% Total Population: Foreign Born"	"% Total Population: Foreign Born: Naturalized Citizen"	"% Total Population: Foreign Born: Not a Citizen"	"Total Population:"	"Total Population: Under 5 Years"	"Total Population: 5 to 9 Years"	"Total Population: 10 to 14 Years"	"Total Population: 15 to 17 Years"	"Total Population: 18 to 24 Years"	"Total Population: 25 to 34 Years"	"Total Population: 35 to 44 Years"	"Total Population: 45 to 54 Years"	"Total Population: 55 to 64 Years"	"Total Population: 65 to 74 Years"	"Total Population: 75 to 84 Years"	"Total Population: 85 Years and Over"	"% Total Population: Under 5 Years"	"% Total Population: 5 to 9 Years"	"% Total Population: 10 to 14 Years"	"% Total Population: 15 to 17 Years"	"% Total Population: 18 to 24 Years"	"% Total Population: 25 to 34 Years"	"% Total Population: 35 to 44 Years"	"% Total Population: 45 to 54 Years"	"% Total Population: 55 to 64 Years"	"% Total Population: 65 to 74 Years"	"% Total Population: 75 to 84 Years"	"% Total Population: 85 Years and Over"	"Population Age 18 to 64 for Whom Poverty Status Is Determined:"	"Population Age 18 to 64 for Whom Poverty Status Is Determined: Living in Poverty"	"Population Age 18 to 64 for Whom Poverty Status Is Determined: At or Above Poverty Level"	"% Population Age 18 to 64 for Whom Poverty Status Is Determined: Living in Poverty"	"% Population Age 18 to 64 for Whom Poverty Status Is Determined: At or Above Poverty Level"
Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	SE_A00001_001	SE_A04001_001	SE_A04001_002	SE_A04001_003	SE_A04001_004	SE_A04001_005	SE_A04001_006	SE_A04001_007	SE_A04001_008	SE_A04001_009	SE_A04001_010	SE_A04001_011	SE_A04001_012	SE_A04001_013	SE_A04001_014	SE_A04001_015	SE_A04001_016	SE_A04001_017	PCT_SE_A04001_002	PCT_SE_A04001_003	PCT_SE_A04001_004	PCT_SE_A04001_005	PCT_SE_A04001_006	PCT_SE_A04001_007	PCT_SE_A04001_008	PCT_SE_A04001_009	PCT_SE_A04001_010	PCT_SE_A04001_011	PCT_SE_A04001_012	PCT_SE_A04001_013	PCT_SE_A04001_014	PCT_SE_A04001_015	PCT_SE_A04001_016	PCT_SE_A04001_017	SE_A03001_001	SE_A03001_002	SE_A03001_003	SE_A03001_004	SE_A03001_005	SE_A03001_006	SE_A03001_007	SE_A03001_008	PCT_SE_A03001_002	PCT_SE_A03001_003	PCT_SE_A03001_004	PCT_SE_A03001_005	PCT_SE_A03001_006	PCT_SE_A03001_007	PCT_SE_A03001_008	SE_A17005_001	SE_A17005_002	SE_A17005_003	PCT_SE_A17005_002	PCT_SE_A17005_003	SE_A06001_001	SE_A06001_002	SE_A06001_003	SE_A06001_004	SE_A06001_005	PCT_SE_A06001_002	PCT_SE_A06001_003	PCT_SE_A06001_004	PCT_SE_A06001_005	SE_A01001_001	SE_A01001_002	SE_A01001_003	SE_A01001_004	SE_A01001_005	SE_A01001_006	SE_A01001_007	SE_A01001_008	SE_A01001_009	SE_A01001_010	SE_A01001_011	SE_A01001_012	SE_A01001_013	PCT_SE_A01001_002	PCT_SE_A01001_003	PCT_SE_A01001_004	PCT_SE_A01001_005	PCT_SE_A01001_006	PCT_SE_A01001_007	PCT_SE_A01001_008	PCT_SE_A01001_009	PCT_SE_A01001_010	PCT_SE_A01001_011	PCT_SE_A01001_012	PCT_SE_A01001_013	SE_A13003B_001	SE_A13003B_002	SE_A13003B_003	PCT_SE_A13003B_002	PCT_SE_A13003B_003
"01"	"04000US01"	"Alabama"	"Alabama"	"al"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4708708	4708708	4560429	3198640	1223876	21459	51274	2130	4964	58086	148279	96387	5392	2617	136	41	37707	5999	96.85	67.93	25.99	0.46	1.09	0.05	0.11	1.23	3.15	2.05	0.11	0.06	0	0	0.8	0.13	4708708	3295027	1229268	24076	51410	2171	42671	64085	69.98	26.11	0.51	1.09	0.05	0.91	1.36	2233570	1986034	247536	88.92	11.08	4708708	4561709	146999	44701	102298	96.88	3.12	0.95	2.17	4708708	313871	310023	311959	190322	466551	622037	617389	673931	553579	354322	217881	76843	6.67	6.58	6.63	4.04	9.91	13.21	13.11	14.31	11.76	7.52	4.63	1.63	2851035	459421	2391614	16.11	83.89
"02"	"04000US02"	"Alaska"	"Alaska"	"ak"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	698473	698473	655100	454124	26613	89572	33380	5188	944	45279	43373	23260	454	2381	256	163	10799	6060	93.79	65.02	3.81	12.82	4.78	0.74	0.14	6.48	6.21	3.33	0.06	0.34	0.04	0.02	1.55	0.87	698473	477384	27067	91953	33636	5351	11743	51339	68.35	3.88	13.16	4.82	0.77	1.68	7.35	368338	333464	34874	90.53	9.47	698473	649624	48849	25765	23084	93.01	6.99	3.69	3.3	698473	54781	45294	51874	31563	83783	101789	91190	107088	79168	32134	15354	4455	7.84	6.48	7.43	4.52	12	14.57	13.06	15.33	11.33	4.6	2.2	0.64	450910	36879	414031	8.18	91.82
"04"	"04000US04"	"Arizona"	"Arizona"	"az"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	6595778	6595778	4564127	3767988	237258	260968	162025	11051	10920	113917	2031651	1507175	16753	33177	5856	289	398954	69447	69.2	57.13	3.6	3.96	2.46	0.17	0.17	1.73	30.8	22.85	0.25	0.5	0.09	0	6.05	1.05	6595778	5275163	254011	294145	167881	11340	409874	183364	79.98	3.85	4.46	2.55	0.17	6.21	2.78	3128500	2795318	333182	89.35	10.65	6595778	5670402	925376	299329	626047	85.97	14.03	4.54	9.49	6595778	516587	470863	472409	272005	615683	955410	872989	852944	699809	454454	304640	107985	7.83	7.14	7.16	4.12	9.33	14.49	13.24	12.93	10.61	6.89	4.62	1.64	3916925	600099	3316826	15.32	84.68
"05"	"04000US05"	"Arkansas"	"Arkansas"	"ar"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2889450	2889450	2716957	2166895	445464	16585	32114	2329	3074	50496	172493	98642	2322	1656	88	0	63229	6556	94.03	74.99	15.42	0.57	1.11	0.08	0.11	1.75	5.97	3.41	0.08	0.06	0	0	2.19	0.23	2889450	2265537	447786	18241	32202	2329	66303	57052	78.41	15.5	0.63	1.11	0.08	2.29	1.97	1371228	1245923	125305	90.86	9.14	2889450	2769219	120231	37197	83034	95.84	4.16	1.29	2.87	2889450	202311	196231	192980	116205	277809	381993	372188	399767	337384	221930	136352	54300	7	6.79	6.68	4.02	9.61	13.22	12.88	13.84	11.68	7.68	4.72	1.88	1717492	291314	1426178	16.96	83.04
"06"	"04000US06"	"California"	"California"	"ca"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	36961664	36961664	23280294	15325751	2159978	152668	4559739	129128	104190	848840	13681370	7831899	87970	143087	59008	8416	4993246	557744	62.98	41.46	5.84	0.41	12.34	0.35	0.28	2.3	37.02	21.19	0.24	0.39	0.16	0.02	13.51	1.51	36961664	23157650	2247948	295755	4618747	137544	5097436	1406584	62.65	6.08	0.8	12.5	0.37	13.79	3.81	18541318	16454578	2086740	88.75	11.25	36961664	27014906	9946758	4543490	5403268	73.09	26.91	12.29	14.62	36961664	2749180	2482406	2595968	1607548	3744453	5374632	5224573	5204985	3834688	2179392	1367838	596001	7.44	6.72	7.02	4.35	10.13	14.54	14.14	14.08	10.37	5.9	3.7	1.61	22893072	2929870	19963202	12.8	87.2
"08"	"04000US08"	"Colorado"	"Colorado"	"co"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5024748	5024748	4006540	3540663	184407	29799	128568	4842	10103	108158	1018208	710396	10544	19343	1648	895	221404	53978	79.74	70.46	3.67	0.59	2.56	0.1	0.2	2.15	20.26	14.14	0.21	0.38	0.03	0.02	4.41	1.07	5024748	4251059	194951	49142	130216	5737	231507	162136	84.6	3.88	0.98	2.59	0.11	4.61	3.23	2710648	2480113	230535	91.5	8.5	5024748	4538133	486615	160965	325650	90.32	9.68	3.2	6.48	5024748	364714	346639	321651	195085	503291	729538	713888	744900	571101	297505	166334	70102	7.26	6.9	6.4	3.88	10.02	14.52	14.21	14.82	11.37	5.92	3.31	1.4	3188535	379247	2809288	11.89	88.11
"09"	"04000US09"	"Connecticut"	"Connecticut"	"ct"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3518288	3518288	3083817	2562302	320278	4755	123354	969	15542	56617	434471	219721	17015	5046	683	0	170100	21906	87.65	72.83	9.1	0.14	3.51	0.03	0.44	1.61	12.35	6.25	0.48	0.14	0.02	0	4.83	0.62	3518288	2782023	337293	9801	124037	969	185642	78523	79.07	9.59	0.28	3.53	0.03	5.28	2.23	1917746	1740760	176986	90.77	9.23	3518288	3058773	459515	211406	248109	86.94	13.06	6.01	7.05	3518288	209369	214912	236405	146667	340907	412532	488263	562514	419682	248187	161370	77480	5.95	6.11	6.72	4.17	9.69	11.73	13.88	15.99	11.93	7.05	4.59	2.2	2150232	194046	1956186	9.02	90.98
"10"	"04000US10"	"Delaware"	"Delaware"	"de"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	885122	885122	821230	596365	179561	2208	26966	0	1242	14888	63892	40165	4229	528	166	0	14798	4006	92.78	67.38	20.29	0.25	3.05	0	0.14	1.68	7.22	4.54	0.48	0.06	0.02	0	1.67	0.45	885122	636530	183790	2736	27132	0	16040	18894	71.91	20.76	0.31	3.07	0	1.81	2.13	457002	417673	39329	91.39	8.61	885122	811089	74033	31240	42793	91.64	8.36	3.53	4.83	885122	59461	56879	55711	34713	83225	116474	118246	128797	105794	67653	39139	19030	6.72	6.43	6.29	3.92	9.4	13.16	13.36	14.55	11.95	7.64	4.42	2.15	536392	51867	484525	9.67	90.33
"11"	"04000US11"	"District of Columbia"	"District of Columbia"	"dc"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	599657	599657	546632	199898	315968	1445	17268	539	1615	9899	53025	32349	3151	390	0	0	15985	1150	91.16	33.34	52.69	0.24	2.88	0.09	0.27	1.65	8.84	5.39	0.53	0.07	0	0	2.67	0.19	599657	232247	319119	1835	17268	539	17600	11049	38.73	53.22	0.31	2.88	0.09	2.94	1.84	330607	293927	36680	88.91	11.09	599657	527547	72110	27770	44340	87.97	12.03	4.63	7.39	599657	38152	27763	28933	18862	72551	112687	85398	78634	66655	37936	21986	10100	6.36	4.63	4.82	3.15	12.1	18.79	14.24	13.11	11.12	6.33	3.67	1.68	391793	62162	329631	15.87	84.13
