"FIPS"	"Geographic Identifier"	"Name of Area"	"Qualifying Name"	"State/U.S.-Abbreviation (USPS)"	"Summary Level"	"Geographic Component"	"File Identification"	"Logical Record Number"	"US"	"Region"	"Division"	"State (Census Code)"	"State (FIPS)"	"County"	"County Subdivision (FIPS)"	"Place (FIPS Code)"	"Place (State FIPS + Place FIPS)"	"Census Tract"	"Block Group"	"Consolidated City"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)"	"American Indian Trust Land/Hawaiian Home Land Indicator"	"American Indian Tribal Subdivision (Census)"	"American Indian Tribal Subdivision (FIPS)"	"Alaska Native Regional Corporation (FIPS)"	"Metropolitan and Micropolitan Statistical Area"	"Combined Statistical Area"	"Metropolitan Division"	"Metropolitan Area Central City"	"Metropolitan/Micropolitan Indicator Flag"	"New England City and Town Combined Statistical Area"	"New England City and Town Area"	"New England City and Town Area Division"	"Urban Area"	"Urban Area Central Place"	"Current Congressional District ***"	"State Legislative District Upper"	"State Legislative District Lower"	"Voting District"	"ZIP Code Tabulation Area (3-digit)"	"ZIP Code Tabulation Area (5-digit)"	"Subbarrio (FIPS)"	"School District (Elementary)"	"School District (Secondary)"	"School District (Unified)"	"Urban/Rural"	"Principal City Indicator"	"Traffic Analysis Zone"	"Urban Growth Area"	"Public Use Microdata Area - 5% File"	"Public Use Microdata Area - 1% File"	"Total Population"	"Total Population"	"Total Population: Not Hispanic or Latino"	"Total Population: Not Hispanic or Latino: White Alone"	"Total Population: Not Hispanic or Latino: Black or African American Alone"	"Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Not Hispanic or Latino: Asian Alone"	"Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Not Hispanic or Latino: Some Other Race Alone"	"Total Population: Not Hispanic or Latino: Two or More Races"	"Total Population: Hispanic or Latino"	"Total Population: Hispanic or Latino: White Alone"	"Total Population: Hispanic or Latino: Black or African American Alone"	"Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Hispanic or Latino: Asian Alone"	"Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Hispanic or Latino: Some Other Race Alone"	"Total Population: Hispanic or Latino: Two or More Races"	"% Total Population: Not Hispanic or Latino"	"% Total Population: Not Hispanic or Latino: White Alone"	"% Total Population: Not Hispanic or Latino: Black or African American Alone"	"% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Not Hispanic or Latino: Asian Alone"	"% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Not Hispanic or Latino: Some Other Race Alone"	"% Total Population: Not Hispanic or Latino: Two or More Races"	"% Total Population: Hispanic or Latino"	"% Total Population: Hispanic or Latino: White Alone"	"% Total Population: Hispanic or Latino: Black or African American Alone"	"% Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Hispanic or Latino: Asian Alone"	"% Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Hispanic or Latino: Some Other Race Alone"	"% Total Population: Hispanic or Latino: Two or More Races"	"Total Population:"	"Total Population: White Alone"	"Total Population: Black or African American Alone"	"Total Population: American Indian and Alaska Native Alone"	"Total Population: Asian Alone"	"Total Population: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Some Other Race Alone"	"Total Population: Two or More Races"	"% Total Population: White Alone"	"% Total Population: Black or African American Alone"	"% Total Population: American Indian and Alaska Native Alone"	"% Total Population: Asian Alone"	"% Total Population: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Some Other Race Alone"	"% Total Population: Two or More Races"	"Civilian Population in Labor Force 16 Years and Over:"	"Civilian Population in Labor Force 16 Years and Over: Employed"	"Civilian Population in Labor Force 16 Years and Over: Unemployed"	"% Civilian Population in Labor Force 16 Years and Over: Employed"	"% Civilian Population in Labor Force 16 Years and Over: Unemployed"	"Total Population:"	"Total Population: Native Born"	"Total Population: Foreign Born"	"Total Population: Foreign Born: Naturalized Citizen"	"Total Population: Foreign Born: Not a Citizen"	"% Total Population: Native Born"	"% Total Population: Foreign Born"	"% Total Population: Foreign Born: Naturalized Citizen"	"% Total Population: Foreign Born: Not a Citizen"	"Total Population:"	"Total Population: Under 5 Years"	"Total Population: 5 to 9 Years"	"Total Population: 10 to 14 Years"	"Total Population: 15 to 17 Years"	"Total Population: 18 to 24 Years"	"Total Population: 25 to 34 Years"	"Total Population: 35 to 44 Years"	"Total Population: 45 to 54 Years"	"Total Population: 55 to 64 Years"	"Total Population: 65 to 74 Years"	"Total Population: 75 to 84 Years"	"Total Population: 85 Years and Over"	"% Total Population: Under 5 Years"	"% Total Population: 5 to 9 Years"	"% Total Population: 10 to 14 Years"	"% Total Population: 15 to 17 Years"	"% Total Population: 18 to 24 Years"	"% Total Population: 25 to 34 Years"	"% Total Population: 35 to 44 Years"	"% Total Population: 45 to 54 Years"	"% Total Population: 55 to 64 Years"	"% Total Population: 65 to 74 Years"	"% Total Population: 75 to 84 Years"	"% Total Population: 85 Years and Over"	"Population Age 18 to 64 for Whom Poverty Status Is Determined:"	"Population Age 18 to 64 for Whom Poverty Status Is Determined: Living in Poverty"	"Population Age 18 to 64 for Whom Poverty Status Is Determined: At or Above Poverty Level"	"% Population Age 18 to 64 for Whom Poverty Status Is Determined: Living in Poverty"	"% Population Age 18 to 64 for Whom Poverty Status Is Determined: At or Above Poverty Level"
Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	SE_A00001_001	SE_A04001_001	SE_A04001_002	SE_A04001_003	SE_A04001_004	SE_A04001_005	SE_A04001_006	SE_A04001_007	SE_A04001_008	SE_A04001_009	SE_A04001_010	SE_A04001_011	SE_A04001_012	SE_A04001_013	SE_A04001_014	SE_A04001_015	SE_A04001_016	SE_A04001_017	PCT_SE_A04001_002	PCT_SE_A04001_003	PCT_SE_A04001_004	PCT_SE_A04001_005	PCT_SE_A04001_006	PCT_SE_A04001_007	PCT_SE_A04001_008	PCT_SE_A04001_009	PCT_SE_A04001_010	PCT_SE_A04001_011	PCT_SE_A04001_012	PCT_SE_A04001_013	PCT_SE_A04001_014	PCT_SE_A04001_015	PCT_SE_A04001_016	PCT_SE_A04001_017	SE_A03001_001	SE_A03001_002	SE_A03001_003	SE_A03001_004	SE_A03001_005	SE_A03001_006	SE_A03001_007	SE_A03001_008	PCT_SE_A03001_002	PCT_SE_A03001_003	PCT_SE_A03001_004	PCT_SE_A03001_005	PCT_SE_A03001_006	PCT_SE_A03001_007	PCT_SE_A03001_008	SE_A17005_001	SE_A17005_002	SE_A17005_003	PCT_SE_A17005_002	PCT_SE_A17005_003	SE_A06001_001	SE_A06001_002	SE_A06001_003	SE_A06001_004	SE_A06001_005	PCT_SE_A06001_002	PCT_SE_A06001_003	PCT_SE_A06001_004	PCT_SE_A06001_005	SE_A01001_001	SE_A01001_002	SE_A01001_003	SE_A01001_004	SE_A01001_005	SE_A01001_006	SE_A01001_007	SE_A01001_008	SE_A01001_009	SE_A01001_010	SE_A01001_011	SE_A01001_012	SE_A01001_013	PCT_SE_A01001_002	PCT_SE_A01001_003	PCT_SE_A01001_004	PCT_SE_A01001_005	PCT_SE_A01001_006	PCT_SE_A01001_007	PCT_SE_A01001_008	PCT_SE_A01001_009	PCT_SE_A01001_010	PCT_SE_A01001_011	PCT_SE_A01001_012	PCT_SE_A01001_013	SE_A13003B_001	SE_A13003B_002	SE_A13003B_003	PCT_SE_A13003B_002	PCT_SE_A13003B_003
"01"	"04000US01"	"Alabama"	"Alabama"	"al"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4661900	4661900	4531736	3188300	1216493	22361	45234	1098	3320	54930	130164	88251	4150	1605	305	29	30139	5685	97.21	68.39	26.09	0.48	0.97	0.02	0.07	1.18	2.79	1.89	0.09	0.03	0.01	0	0.65	0.12	4661900	3276551	1220643	23966	45539	1127	33459	60615	70.28	26.18	0.51	0.98	0.02	0.72	1.3	2235664	2079965	155699	93.04	6.96	4661900	4530205	131695	39634	92061	97.18	2.82	0.85	1.97	4661900	307183	307347	312300	194380	462191	598417	627804	671270	542251	344383	211131	83243	6.59	6.59	6.7	4.17	9.91	12.84	13.47	14.4	11.63	7.39	4.53	1.79	2821781	398132	2423649	14.11	85.89
"02"	"04000US02"	"Alaska"	"Alaska"	"ak"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	686293	686293	643705	450038	23141	85580	31407	3704	940	48895	42588	24279	1742	1757	419	60	7613	6718	93.79	65.58	3.37	12.47	4.58	0.54	0.14	7.12	6.21	3.54	0.25	0.26	0.06	0.01	1.11	0.98	686293	474317	24883	87337	31826	3764	8553	55613	69.11	3.63	12.73	4.64	0.55	1.25	8.1	368190	339851	28339	92.3	7.7	686293	641997	44296	23196	21100	93.55	6.45	3.38	3.07	686293	51624	48384	48951	31800	80633	99124	96176	105292	75894	31059	14112	3244	7.52	7.05	7.13	4.63	11.75	14.44	14.01	15.34	11.06	4.53	2.06	0.47	445082	35058	410024	7.88	92.12
"04"	"04000US04"	"Arizona"	"Arizona"	"az"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	6500180	6500180	4540983	3781993	225620	263388	149524	8194	9229	103035	1959197	1421994	10138	23361	4892	1146	433348	64318	69.86	58.18	3.47	4.05	2.3	0.13	0.14	1.59	30.14	21.88	0.16	0.36	0.08	0.02	6.67	0.99	6500180	5203987	235758	286749	154416	9340	442577	167353	80.06	3.63	4.41	2.38	0.14	6.81	2.57	3138788	2947910	190878	93.92	6.08	6500180	5567662	932518	283915	648603	85.65	14.35	4.37	9.98	6500180	515321	464106	455446	272807	599953	929418	873435	849309	676293	446195	306706	111191	7.93	7.14	7.01	4.2	9.23	14.3	13.44	13.07	10.4	6.86	4.72	1.71	3844309	515639	3328670	13.41	86.59
"05"	"04000US05"	"Arkansas"	"Arkansas"	"ar"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2855390	2855390	2697912	2159061	441926	14464	29250	1686	1977	49548	157478	88562	710	503	216	230	60303	6954	94.48	75.61	15.48	0.51	1.02	0.06	0.07	1.74	5.52	3.1	0.02	0.02	0.01	0.01	2.11	0.24	2855390	2247623	442636	14967	29466	1916	62280	56502	78.72	15.5	0.52	1.03	0.07	2.18	1.98	1363677	1273320	90357	93.37	6.63	2855390	2746133	109257	35672	73585	96.17	3.83	1.25	2.58	2855390	199082	194612	188334	120896	279652	365307	377306	396312	329699	215390	138254	50546	6.97	6.82	6.6	4.23	9.79	12.79	13.21	13.88	11.55	7.54	4.84	1.77	1697563	260505	1437058	15.35	84.65
"06"	"04000US06"	"California"	"California"	"ca"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	36756666	36756666	23299269	15453123	2170068	159868	4481348	123122	107197	804543	13457397	7508865	90533	154512	67393	9058	5121081	505955	63.39	42.04	5.9	0.43	12.19	0.33	0.29	2.19	36.61	20.43	0.25	0.42	0.18	0.02	13.93	1.38	36756666	22961988	2260601	314380	4548741	132180	5228278	1310498	62.47	6.15	0.86	12.38	0.36	14.22	3.57	18513990	17124518	1389472	92.5	7.5	36756666	26897639	9859027	4396790	5462237	73.18	26.82	11.96	14.86	36756666	2692906	2448964	2587883	1632944	3865493	5217280	5372665	5154622	3668085	2129019	1399452	587353	7.33	6.66	7.04	4.44	10.52	14.19	14.62	14.02	9.98	5.79	3.81	1.6	22764550	2731028	20033522	12	88
"08"	"04000US08"	"Colorado"	"Colorado"	"co"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4939456	4939456	3942396	3496374	177573	31779	124757	4761	9749	97403	997060	689294	9983	16056	1386	703	224907	54731	79.81	70.78	3.59	0.64	2.53	0.1	0.2	1.97	20.19	13.95	0.2	0.33	0.03	0.01	4.55	1.11	4939456	4185668	187556	47835	126143	5464	234656	152134	84.74	3.8	0.97	2.55	0.11	4.75	3.08	2716727	2583902	132825	95.11	4.89	4939456	4440277	499179	158866	340313	89.89	10.11	3.22	6.89	4939456	356389	333398	317397	199582	469664	737224	723927	741939	547770	280147	162006	70013	7.22	6.75	6.43	4.04	9.51	14.93	14.66	15.02	11.09	5.67	3.28	1.42	3149165	332022	2817143	10.54	89.46
"09"	"04000US09"	"Connecticut"	"Connecticut"	"ct"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3501252	3501252	3081861	2577077	315883	5687	119134	1008	10531	52541	419391	228667	15266	2434	2161	0	149291	21572	88.02	73.6	9.02	0.16	3.4	0.03	0.3	1.5	11.98	6.53	0.44	0.07	0.06	0	4.26	0.62	3501252	2805744	331149	8121	121295	1008	159822	74113	80.14	9.46	0.23	3.46	0.03	4.56	2.12	1913142	1790668	122474	93.6	6.4	3501252	3047250	454002	205305	248697	87.03	12.97	5.86	7.1	3501252	210653	213951	236949	149734	325648	403387	514555	561140	407992	237382	159655	80206	6.02	6.11	6.77	4.28	9.3	11.52	14.7	16.03	11.65	6.78	4.56	2.29	2140683	180825	1959858	8.45	91.55
"10"	"04000US10"	"Delaware"	"Delaware"	"de"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	873092	873092	813999	595514	176135	2266	25167	78	1734	13105	59093	39467	3529	386	113	57	13855	1686	93.23	68.21	20.17	0.26	2.88	0.01	0.2	1.5	6.77	4.52	0.4	0.04	0.01	0.01	1.59	0.19	873092	634981	179664	2652	25280	135	15589	14791	72.73	20.58	0.3	2.9	0.02	1.79	1.69	450741	420977	29764	93.4	6.6	873092	806299	66793	25678	41115	92.35	7.65	2.94	4.71	873092	59802	56029	54355	35940	85155	108019	122492	127298	103248	64173	41712	14869	6.85	6.42	6.23	4.12	9.75	12.37	14.03	14.58	11.83	7.35	4.78	1.7	530009	48434	481575	9.14	90.86
"11"	"04000US11"	"District of Columbia"	"District of Columbia"	"dc"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	591833	591833	540709	194261	312590	1571	19696	564	1931	10096	51124	27650	3688	641	395	0	17027	1723	91.36	32.82	52.82	0.27	3.33	0.1	0.33	1.71	8.64	4.67	0.62	0.11	0.07	0	2.88	0.29	591833	221911	316278	2212	20091	564	18958	11819	37.5	53.44	0.37	3.39	0.1	3.2	2	332151	306366	25785	92.24	7.76	591833	513949	77884	27221	50663	86.84	13.16	4.6	8.56	591833	36360	27564	28873	19174	76094	108356	85088	76629	63189	36705	22775	11026	6.14	4.66	4.88	3.24	12.86	18.31	14.38	12.95	10.68	6.2	3.85	1.86	386022	58297	327725	15.1	84.9
