"FIPS"	"Geographic Identifier"	"Name of Area"	"Qualifying Name"	"State/U.S.-Abbreviation (USPS)"	"Summary Level"	"Geographic Component"	"File Identification"	"Logical Record Number"	"US"	"Region"	"Division"	"State (Census Code)"	"State (FIPS)"	"County"	"County Subdivision (FIPS)"	"Place (FIPS Code)"	"Place (State FIPS + Place FIPS)"	"Census Tract"	"Block Group"	"Consolidated City"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)"	"American Indian Trust Land/Hawaiian Home Land Indicator"	"American Indian Tribal Subdivision (Census)"	"American Indian Tribal Subdivision (FIPS)"	"Alaska Native Regional Corporation (FIPS)"	"Metropolitan and Micropolitan Statistical Area"	"Combined Statistical Area"	"Metropolitan Division"	"Metropolitan Area Central City"	"Metropolitan/Micropolitan Indicator Flag"	"New England City and Town Combined Statistical Area"	"New England City and Town Area"	"New England City and Town Area Division"	"Urban Area"	"Urban Area Central Place"	"Current Congressional District ***"	"State Legislative District Upper"	"State Legislative District Lower"	"Voting District"	"ZIP Code Tabulation Area (3-digit)"	"ZIP Code Tabulation Area (5-digit)"	"Subbarrio (FIPS)"	"School District (Elementary)"	"School District (Secondary)"	"School District (Unified)"	"Urban/Rural"	"Principal City Indicator"	"Traffic Analysis Zone"	"Urban Growth Area"	"Public Use Microdata Area - 5% File"	"Public Use Microdata Area - 1% File"	"Total Population"	"Total Population"	"Total Population: Not Hispanic or Latino"	"Total Population: Not Hispanic or Latino: White Alone"	"Total Population: Not Hispanic or Latino: Black or African American Alone"	"Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Not Hispanic or Latino: Asian Alone"	"Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Not Hispanic or Latino: Some Other Race Alone"	"Total Population: Not Hispanic or Latino: Two or More races"	"Total Population: Hispanic or Latino"	"Total Population: Hispanic or Latino: White Alone"	"Total Population: Hispanic or Latino: Black or African American Alone"	"Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Hispanic or Latino: Asian Alone"	"Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Hispanic or Latino: Some Other Race Alone"	"Total Population: Hispanic or Latino: Two or More races"	"% Total Population: Not Hispanic or Latino"	"% Total Population: Not Hispanic or Latino: White Alone"	"% Total Population: Not Hispanic or Latino: Black or African American Alone"	"% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Not Hispanic or Latino: Asian Alone"	"% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Not Hispanic or Latino: Some Other Race Alone"	"% Total Population: Not Hispanic or Latino: Two or More races"	"% Total Population: Hispanic or Latino"	"% Total Population: Hispanic or Latino: White Alone"	"% Total Population: Hispanic or Latino: Black or African American Alone"	"% Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Hispanic or Latino: Asian Alone"	"% Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Hispanic or Latino: Some Other Race Alone"	"% Total Population: Hispanic or Latino: Two or More races"	"Total Population:"	"Total Population: White Alone"	"Total Population: Black or African American Alone"	"Total Population: American Indian and Alaska Native Alone"	"Total Population: Asian Alone"	"Total Population: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Some Other Race Alone"	"Total Population: Two or More races"	"% Total Population: White Alone"	"% Total Population: Black or African American Alone"	"% Total Population: American Indian and Alaska Native Alone"	"% Total Population: Asian Alone"	"% Total Population: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Some Other Race Alone"	"% Total Population: Two or More races"	"Civilian Population in Labor Force 16 Years and Over:"	"Civilian Population in Labor Force 16 Years and Over: Employed"	"Civilian Population in Labor Force 16 Years and Over: Unemployed"	"% Civilian Population in Labor Force 16 Years and Over: Employed"	"% Civilian Population in Labor Force 16 Years and Over: Unemployed"	"Total Population:"	"Total Population: Native Born"	"Total Population: Foreign Born"	"Total Population: Foreign Born: Naturalized Citizen"	"Total Population: Foreign Born: Not a Citizen"	"% Total Population: Native Born"	"% Total Population: Foreign Born"	"% Total Population: Foreign Born: Naturalized Citizen"	"% Total Population: Foreign Born: Not a Citizen"	"Total Population:"	"Total Population: Under 5 Years"	"Total Population: 5 to 9 Years"	"Total Population: 10 to 14 Years"	"Total Population: 15 to 17 Years"	"Total Population: 18 to 24 Years"	"Total Population: 25 to 34 Years"	"Total Population: 35 to 44 Years"	"Total Population: 45 to 54 Years"	"Total Population: 55 to 64 Years"	"Total Population: 65 to 74 Years"	"Total Population: 75 to 84 Years"	"Total Population: 85 Years and Over"	"% Total Population: Under 5 Years"	"% Total Population: 5 to 9 Years"	"% Total Population: 10 to 14 Years"	"% Total Population: 15 to 17 Years"	"% Total Population: 18 to 24 Years"	"% Total Population: 25 to 34 Years"	"% Total Population: 35 to 44 Years"	"% Total Population: 45 to 54 Years"	"% Total Population: 55 to 64 Years"	"% Total Population: 65 to 74 Years"	"% Total Population: 75 to 84 Years"	"% Total Population: 85 Years and Over"	"Population Age 18 to 64 for whom poverty status Is determined:"	"Population Age 18 to 64 for whom poverty status Is determined: Living in Poverty"	"Population Age 18 to 64 for whom poverty status Is determined: at or Above Poverty Level"	"% Population Age 18 to 64 for whom poverty status Is determined: Living in Poverty"	"% Population Age 18 to 64 for whom poverty status Is determined: at or Above Poverty Level"
Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	SE_A00001_001	SE_A04001_001	SE_A04001_002	SE_A04001_003	SE_A04001_004	SE_A04001_005	SE_A04001_006	SE_A04001_007	SE_A04001_008	SE_A04001_009	SE_A04001_010	SE_A04001_011	SE_A04001_012	SE_A04001_013	SE_A04001_014	SE_A04001_015	SE_A04001_016	SE_A04001_017	PCT_SE_A04001_002	PCT_SE_A04001_003	PCT_SE_A04001_004	PCT_SE_A04001_005	PCT_SE_A04001_006	PCT_SE_A04001_007	PCT_SE_A04001_008	PCT_SE_A04001_009	PCT_SE_A04001_010	PCT_SE_A04001_011	PCT_SE_A04001_012	PCT_SE_A04001_013	PCT_SE_A04001_014	PCT_SE_A04001_015	PCT_SE_A04001_016	PCT_SE_A04001_017	SE_A03001_001	SE_A03001_002	SE_A03001_003	SE_A03001_004	SE_A03001_005	SE_A03001_006	SE_A03001_007	SE_A03001_008	PCT_SE_A03001_002	PCT_SE_A03001_003	PCT_SE_A03001_004	PCT_SE_A03001_005	PCT_SE_A03001_006	PCT_SE_A03001_007	PCT_SE_A03001_008	SE_A17005_001	SE_A17005_002	SE_A17005_003	PCT_SE_A17005_002	PCT_SE_A17005_003	SE_A06001_001	SE_A06001_002	SE_A06001_003	SE_A06001_004	SE_A06001_005	PCT_SE_A06001_002	PCT_SE_A06001_003	PCT_SE_A06001_004	PCT_SE_A06001_005	SE_A01001_001	SE_A01001_002	SE_A01001_003	SE_A01001_004	SE_A01001_005	SE_A01001_006	SE_A01001_007	SE_A01001_008	SE_A01001_009	SE_A01001_010	SE_A01001_011	SE_A01001_012	SE_A01001_013	PCT_SE_A01001_002	PCT_SE_A01001_003	PCT_SE_A01001_004	PCT_SE_A01001_005	PCT_SE_A01001_006	PCT_SE_A01001_007	PCT_SE_A01001_008	PCT_SE_A01001_009	PCT_SE_A01001_010	PCT_SE_A01001_011	PCT_SE_A01001_012	PCT_SE_A01001_013	SE_A13003B_001	SE_A13003B_002	SE_A13003B_003	PCT_SE_A13003B_002	PCT_SE_A13003B_003
"01"	"04000US01"	"Alabama"	"Alabama"	"al"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4627851	4627851	4508436	3176698	1208620	19399	44265	1391	2443	55620	119415	77409	3498	1291	296	127	32246	4548	97.42	68.64	26.12	0.42	0.96	0.03	0.05	1.2	2.58	1.67	0.08	0.03	0.01	0	0.7	0.1	4627851	3254107	1212118	20690	44561	1518	34689	60168	70.32	26.19	0.45	0.96	0.03	0.75	1.3	2172730	2027526	145204	93.32	6.68	4627851	4490576	137275	40879	96396	97.03	2.97	0.88	2.08	4627851	309003	307992	308171	199484	457308	589251	636403	668705	526787	336042	215232	73473	6.68	6.66	6.66	4.31	9.88	12.73	13.75	14.45	11.38	7.26	4.65	1.59	2800407	419146	2381261	14.97	85.03
"02"	"04000US02"	"Alaska"	"Alaska"	"ak"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	683478	683478	645038	451084	24842	89132	32203	4900	687	42190	38440	14150	979	2926	733	78	14844	4730	94.38	66	3.63	13.04	4.71	0.72	0.1	6.17	5.62	2.07	0.14	0.43	0.11	0.01	2.17	0.69	683478	465234	25821	92058	32936	4978	15531	46920	68.07	3.78	13.47	4.82	0.73	2.27	6.86	361323	329656	31667	91.24	8.76	683478	634550	48928	25046	23882	92.84	7.16	3.66	3.49	683478	50672	47087	48140	35220	80541	94734	97391	109955	72657	29463	12809	4809	7.41	6.89	7.04	5.15	11.78	13.86	14.25	16.09	10.63	4.31	1.87	0.7	442678	36707	405971	8.29	91.71
"04"	"04000US04"	"Arizona"	"Arizona"	"az"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	6338755	6338755	4457036	3728592	215214	262506	147341	6939	10284	86160	1881719	1113398	9777	18590	4073	762	666904	68215	70.31	58.82	3.4	4.14	2.32	0.11	0.16	1.36	29.69	17.56	0.15	0.29	0.06	0.01	10.52	1.08	6338755	4841990	224991	281096	151414	7701	677188	154375	76.39	3.55	4.43	2.39	0.12	10.68	2.44	3013237	2839644	173593	94.24	5.76	6338755	5347171	991584	294541	697043	84.36	15.64	4.65	11	6338755	498967	453503	448528	269557	592375	916059	864660	820377	655553	421231	296380	101565	7.87	7.15	7.08	4.25	9.35	14.45	13.64	12.94	10.34	6.65	4.68	1.6	3777634	481357	3296277	12.74	87.26
"05"	"04000US05"	"Arkansas"	"Arkansas"	"ar"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2834797	2834797	2688255	2151732	440906	15824	33840	1868	2695	41390	146542	75026	1373	1601	93	406	61161	6882	94.83	75.9	15.55	0.56	1.19	0.07	0.1	1.46	5.17	2.65	0.05	0.06	0	0.01	2.16	0.24	2834797	2226758	442279	17425	33933	2274	63856	48272	78.55	15.6	0.61	1.2	0.08	2.25	1.7	1335168	1239386	95782	92.83	7.17	2834797	2716392	118405	33316	85089	95.82	4.18	1.18	3	2834797	196950	195435	190616	118491	271495	366011	381359	395682	320822	209866	135907	52163	6.95	6.89	6.72	4.18	9.58	12.91	13.45	13.96	11.32	7.4	4.79	1.84	1686458	268396	1418062	15.91	84.09
"06"	"04000US06"	"California"	"California"	"ca"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	36553215	36553215	23332327	15523249	2195397	170044	4448793	118635	120116	756093	13220888	6503487	67966	96007	62614	7710	5976811	506293	63.83	42.47	6.01	0.47	12.17	0.32	0.33	2.07	36.17	17.79	0.19	0.26	0.17	0.02	16.35	1.39	36553215	22026736	2263363	266051	4511407	126345	6096927	1262386	60.26	6.19	0.73	12.34	0.35	16.68	3.45	18057937	16859688	1198249	93.36	6.64	36553215	26528863	10024352	4371545	5652807	72.58	27.42	11.96	15.46	36553215	2661890	2443817	2616346	1661568	3837832	5205540	5449923	5114104	3561246	2048331	1408128	544490	7.28	6.69	7.16	4.55	10.5	14.24	14.91	13.99	9.74	5.6	3.85	1.49	22649114	2522872	20126242	11.14	88.86
"08"	"04000US08"	"Colorado"	"Colorado"	"co"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4861515	4861515	3895631	3459571	181129	32597	128970	3385	9733	80246	965884	601488	8088	13575	2729	319	293074	46611	80.13	71.16	3.73	0.67	2.65	0.07	0.2	1.65	19.87	12.37	0.17	0.28	0.06	0.01	6.03	0.96	4861515	4061059	189217	46172	131699	3704	302807	126857	83.53	3.89	0.95	2.71	0.08	6.23	2.61	2633858	2489006	144852	94.5	5.5	4861515	4376345	485170	152957	332213	90.02	9.98	3.15	6.83	4861515	349320	330159	314319	198341	465672	722345	726940	740009	521017	266163	164600	62630	7.19	6.79	6.47	4.08	9.58	14.86	14.95	15.22	10.72	5.47	3.39	1.29	3105162	337279	2767883	10.86	89.14
"09"	"04000US09"	"Connecticut"	"Connecticut"	"ct"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3502309	3502309	3098934	2592457	316412	6475	116903	857	18328	47502	403375	193944	11989	1736	1313	38	171051	23304	88.48	74.02	9.03	0.18	3.34	0.02	0.52	1.36	11.52	5.54	0.34	0.05	0.04	0	4.88	0.67	3502309	2786401	328401	8211	118216	895	189379	70806	79.56	9.38	0.23	3.38	0.03	5.41	2.02	1881730	1768338	113392	93.97	6.03	3502309	3052648	449661	212704	236957	87.16	12.84	6.07	6.77	3502309	211984	220640	235555	150871	323691	402657	527378	556192	401881	228688	162570	80202	6.05	6.3	6.73	4.31	9.24	11.5	15.06	15.88	11.47	6.53	4.64	2.29	2137169	151365	1985804	7.08	92.92
"10"	"04000US10"	"Delaware"	"Delaware"	"de"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	864764	864764	808611	592385	172484	1542	24500	532	2386	14782	56153	32969	3198	681	872	0	16237	2196	93.51	68.5	19.95	0.18	2.83	0.06	0.28	1.71	6.49	3.81	0.37	0.08	0.1	0	1.88	0.25	864764	625354	175682	2223	25372	532	18623	16978	72.31	20.32	0.26	2.93	0.06	2.15	1.96	440422	415811	24611	94.41	5.59	864764	798943	65821	27690	38131	92.39	7.61	3.2	4.41	864764	59162	52480	58254	35736	85197	105980	125249	126353	99272	61737	39659	15685	6.84	6.07	6.74	4.13	9.85	12.26	14.48	14.61	11.48	7.14	4.59	1.81	526033	49839	476194	9.47	90.53
"11"	"04000US11"	"District of Columbia"	"District of Columbia"	"dc"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	588292	588292	539276	190282	318885	936	18066	0	2695	8412	49016	20050	2761	236	0	0	24896	1073	91.67	32.34	54.21	0.16	3.07	0	0.46	1.43	8.33	3.41	0.47	0.04	0	0	4.23	0.18	588292	210332	321646	1172	18066	0	27591	9485	35.75	54.67	0.2	3.07	0	4.69	1.61	318115	292422	25693	91.92	8.08	588292	513883	74409	27048	47361	87.35	12.65	4.6	8.05	588292	36312	29472	28273	19517	73700	108002	85760	76006	60986	36283	23576	10405	6.17	5.01	4.81	3.32	12.53	18.36	14.58	12.92	10.37	6.17	4.01	1.77	380055	57169	322886	15.04	84.96
