"FIPS"	"Geographic Identifier"	"Name of Area"	"Qualifying Name"	"State/U.S.-Abbreviation (USPS)"	"Summary Level"	"Geographic Component"	"File Identification"	"Logical Record Number"	"US"	"Region"	"Division"	"State (Census Code)"	"State (FIPS)"	"County"	"County Subdivision (FIPS)"	"Place (FIPS Code)"	"Place (State FIPS + Place FIPS)"	"Census Tract"	"Block Group"	"Consolidated City"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)"	"American Indian Trust Land/Hawaiian Home Land Indicator"	"American Indian Tribal Subdivision (Census)"	"American Indian Tribal Subdivision (FIPS)"	"Alaska Native Regional Corporation (FIPS)"	"Metropolitan and Micropolitan Statistical Area"	"Combined Statistical Area"	"Metropolitan Division"	"Metropolitan Area Central City"	"Metropolitan/Micropolitan Indicator Flag"	"New England City and Town Combined Statistical Area"	"New England City and Town Area"	"New England City and Town Area Division"	"Urban Area"	"Urban Area Central Place"	"Current Congressional District 110"	"State Legislative District Upper"	"State Legislative District Lower"	"Voting District"	"ZIP Code Tabulation Area (3-digit)"	"ZIP Code Tabulation Area (5-digit)"	"Subbarrio (FIPS)"	"School District (Elementary)"	"School District (Secondary)"	"School District (Unified)"	"Urban/Rural"	"Principal City Indicator"	"Traffic Analysis Zone"	"Urban Growth Area"	"Public Use Microdata Area - 5% File"	"Public Use Microdata Area - 1% File"	"Total Population:"	"Total Population: Native Born"	"Total Population: Foreign Born"	"Total Population: Foreign Born: Naturalized Citizen"	"Total Population: Foreign Born: Not a Citizen"	"% Total Population: Native Born"	"% Total Population: Foreign Born"	"% Total Population: Foreign Born: Naturalized Citizen"	"% Total Population: Foreign Born: Not a Citizen"	"Total Population"	"Total Population: Not Hispanic or Latino"	"Total Population: Not Hispanic or Latino: White Alone"	"Total Population: Not Hispanic or Latino: Black or African American Alone"	"Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Not Hispanic or Latino: Asian Alone"	"Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Not Hispanic or Latino: Some Other Race Alone"	"Total Population: Not Hispanic or Latino: Two or More Races"	"Total Population: Hispanic or Latino"	"Total Population: Hispanic or Latino: White Alone"	"Total Population: Hispanic or Latino: Black or African American Alone"	"Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Hispanic or Latino: Asian Alone"	"Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Hispanic or Latino: Some Other Race Alone"	"Total Population: Hispanic or Latino: Two or More Races"	"% Total Population: Not Hispanic or Latino"	"% Total Population: Not Hispanic or Latino: White Alone"	"% Total Population: Not Hispanic or Latino: Black or African American Alone"	"% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Not Hispanic or Latino: Asian Alone"	"% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Not Hispanic or Latino: Some Other Race Alone"	"% Total Population: Not Hispanic or Latino: Two or More Races"	"% Total Population: Hispanic or Latino"	"% Total Population: Hispanic or Latino: White Alone"	"% Total Population: Hispanic or Latino: Black or African American Alone"	"% Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Hispanic or Latino: Asian Alone"	"% Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Hispanic or Latino: Some Other Race Alone"	"% Total Population: Hispanic or Latino: Two or More Races"	"Total Population:"	"Total Population: White Alone"	"Total Population: Black or African American Alone"	"Total Population: American Indian and Alaska Native Alone"	"Total Population: Asian Alone"	"Total Population: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Some Other Race Alone"	"Total Population: Two or More Races"	"% Total Population: White Alone"	"% Total Population: Black or African American Alone"	"% Total Population: American Indian and Alaska Native Alone"	"% Total Population: Asian Alone"	"% Total Population: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Some Other Race Alone"	"% Total Population: Two or More Races"	"Civilian Population in Labor Force 16 Years and Over:"	"Civilian Population in Labor Force 16 Years and Over: Employed"	"Civilian Population in Labor Force 16 Years and Over: Unemployed"	"% Civilian Population in Labor Force 16 Years and Over: Employed"	"% Civilian Population in Labor Force 16 Years and Over: Unemployed"
Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	SE_A06001_001	SE_A06001_002	SE_A06001_003	SE_A06001_004	SE_A06001_005	PCT_SE_A06001_002	PCT_SE_A06001_003	PCT_SE_A06001_004	PCT_SE_A06001_005	SE_A04001_001	SE_A04001_002	SE_A04001_003	SE_A04001_004	SE_A04001_005	SE_A04001_006	SE_A04001_007	SE_A04001_008	SE_A04001_009	SE_A04001_010	SE_A04001_011	SE_A04001_012	SE_A04001_013	SE_A04001_014	SE_A04001_015	SE_A04001_016	SE_A04001_017	PCT_SE_A04001_002	PCT_SE_A04001_003	PCT_SE_A04001_004	PCT_SE_A04001_005	PCT_SE_A04001_006	PCT_SE_A04001_007	PCT_SE_A04001_008	PCT_SE_A04001_009	PCT_SE_A04001_010	PCT_SE_A04001_011	PCT_SE_A04001_012	PCT_SE_A04001_013	PCT_SE_A04001_014	PCT_SE_A04001_015	PCT_SE_A04001_016	PCT_SE_A04001_017	SE_A03001_001	SE_A03001_002	SE_A03001_003	SE_A03001_004	SE_A03001_005	SE_A03001_006	SE_A03001_007	SE_A03001_008	PCT_SE_A03001_002	PCT_SE_A03001_003	PCT_SE_A03001_004	PCT_SE_A03001_005	PCT_SE_A03001_006	PCT_SE_A03001_007	PCT_SE_A03001_008	SE_A17005_001	SE_A17005_002	SE_A17005_003	PCT_SE_A17005_002	PCT_SE_A17005_003
"01"	"04000US01"	"Alabama"	"Alabama"	"al"	""	""	"ACSSF"	"0000001"	""	""	""	""	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4874747	4705681	169066	67037	102029	96.53	3.47	1.38	2.09	4874747	4672777	3191450	1302295	22209	65494	1432	8106	81791	201970	121268	5172	2972	1414	149	59202	11793	95.86	65.47	26.72	0.46	1.34	0.03	0.17	1.68	4.14	2.49	0.11	0.06	0.03	0	1.21	0.24	4874747	3312718	1307467	25181	66908	1581	67308	93584	67.96	26.82	0.52	1.37	0.03	1.38	1.92	2194187	2065885	128302	94.15	5.85
"02"	"04000US02"	"Alaska"	"Alaska"	"ak"	""	""	"ACSSF"	"0000001"	""	""	""	""	"02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	739795	681608	58187	31164	27023	92.13	7.87	4.21	3.65	739795	688083	448081	21192	105146	48569	8699	1210	55186	51712	26775	915	4802	816	131	10069	8204	93.01	60.57	2.86	14.21	6.57	1.18	0.16	7.46	6.99	3.62	0.12	0.65	0.11	0.02	1.36	1.11	739795	474856	22107	109948	49385	8830	11279	63390	64.19	2.99	14.86	6.68	1.19	1.52	8.57	373249	344982	28267	92.43	7.57
"04"	"04000US04"	"Arizona"	"Arizona"	"az"	""	""	"ACSSF"	"0000001"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	7016270	6091370	924900	401048	523852	86.82	13.18	5.72	7.47	7016270	4814097	3836639	290379	274496	225810	14951	12312	159510	2202173	1605778	17276	43478	6707	1502	420541	106891	68.61	54.68	4.14	3.91	3.22	0.21	0.18	2.27	31.39	22.89	0.25	0.62	0.1	0.02	5.99	1.52	7016270	5442417	307655	317974	232517	16453	432853	266401	77.57	4.38	4.53	3.31	0.23	6.17	3.8	3318675	3125954	192721	94.19	5.81
"05"	"04000US05"	"Arkansas"	"Arkansas"	"ar"	""	""	"ACSSF"	"0000001"	""	""	""	""	"05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3004279	2864201	140078	45139	94939	95.34	4.66	1.5	3.16	3004279	2780515	2173307	455500	16901	46583	8220	7629	72375	223764	120000	2867	2209	1302	331	84261	12794	92.55	72.34	15.16	0.56	1.55	0.27	0.25	2.41	7.45	3.99	0.1	0.07	0.04	0.01	2.8	0.43	3004279	2293307	458367	19110	47885	8551	91890	85169	76.33	15.26	0.64	1.59	0.28	3.06	2.83	1373376	1296881	76495	94.43	5.57
"06"	"04000US06"	"California"	"California"	"ca"	""	""	"ACSSF"	"0000001"	""	""	""	""	"06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	39536653	28883239	10653414	5500685	5152729	73.05	26.95	13.91	13.03	39536653	24059347	14616636	2164239	147880	5679986	137520	107223	1205863	15477306	8565133	107678	165979	85319	16403	5804580	732214	60.85	36.97	5.47	0.37	14.37	0.35	0.27	3.05	39.15	21.66	0.27	0.42	0.22	0.04	14.68	1.85	39536653	23181769	2271917	313859	5765305	153923	5911803	1938077	58.63	5.75	0.79	14.58	0.39	14.95	4.9	19936052	18757501	1178551	94.09	5.91
"08"	"04000US08"	"Colorado"	"Colorado"	"co"	""	""	"ACSSF"	"0000001"	""	""	""	""	"08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5607154	5056386	550768	234274	316494	90.18	9.82	4.18	5.64	5607154	4400430	3822055	219500	32102	176176	7137	11528	131932	1206724	898440	9936	24690	3075	1263	207661	61659	78.48	68.16	3.91	0.57	3.14	0.13	0.21	2.35	21.52	16.02	0.18	0.44	0.05	0.02	3.7	1.1	5607154	4720495	229436	56792	179251	8400	219189	193591	84.19	4.09	1.01	3.2	0.15	3.91	3.45	3027185	2899926	127259	95.8	4.2
"09"	"04000US09"	"Connecticut"	"Connecticut"	"ct"	""	""	"ACSSF"	"0000001"	""	""	""	""	"09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3588184	3057939	530245	272795	257450	85.22	14.78	7.6	7.17	3588184	3009351	2393694	354320	7486	162564	137	13505	77645	578833	329319	26258	3782	1360	388	177868	39858	83.87	66.71	9.87	0.21	4.53	0	0.38	2.16	16.13	9.18	0.73	0.11	0.04	0.01	4.96	1.11	3588184	2723013	380578	11268	163924	525	191373	117503	75.89	10.61	0.31	4.57	0.01	5.33	3.27	1922383	1805023	117360	93.9	6.1
"10"	"04000US10"	"Delaware"	"Delaware"	"de"	""	""	"ACSSF"	"0000001"	""	""	""	""	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	961939	863446	98493	45984	52509	89.76	10.24	4.78	5.46	961939	872399	597917	206690	2344	38404	244	1545	25255	89540	64167	3666	385	526	0	16827	3969	90.69	62.16	21.49	0.24	3.99	0.03	0.16	2.63	9.31	6.67	0.38	0.04	0.05	0	1.75	0.41	961939	662084	210356	2729	38930	244	18372	29224	68.83	21.87	0.28	4.05	0.03	1.91	3.04	460676	436376	24300	94.73	5.27
"11"	"04000US11"	"District of Columbia"	"District of Columbia"	"dc"	""	""	"ACSSF"	"0000001"	""	""	""	""	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	693972	592112	101860	38891	62969	85.32	14.68	5.6	9.07	693972	617446	253416	314705	1574	28056	217	3746	15732	76526	31120	3515	116	443	85	36370	4877	88.97	36.52	45.35	0.23	4.04	0.03	0.54	2.27	11.03	4.48	0.51	0.02	0.06	0.01	5.24	0.7	693972	284536	318220	1690	28499	302	40116	20609	41	45.85	0.24	4.11	0.04	5.78	2.97	405506	378780	26726	93.41	6.59
