"FIPS"	"Geographic Identifier"	"Name of Area"	"Qualifying Name"	"State/U.S.-Abbreviation (USPS)"	"Summary Level"	"Geographic Component"	"File Identification"	"Logical Record Number"	"US"	"Region"	"Division"	"State (Census Code)"	"State (FIPS)"	"County"	"County Subdivision (FIPS)"	"Place (FIPS Code)"	"Place (State FIPS + Place FIPS)"	"Census Tract"	"Block Group"	"Consolidated City"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)"	"American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)"	"American Indian Trust Land/Hawaiian Home Land Indicator"	"American Indian Tribal Subdivision (Census)"	"American Indian Tribal Subdivision (FIPS)"	"Alaska Native Regional Corporation (FIPS)"	"Metropolitan and Micropolitan Statistical Area"	"Combined Statistical Area"	"Metropolitan Division"	"Metropolitan Area Central City"	"Metropolitan/Micropolitan Indicator Flag"	"New England City and Town Combined Statistical Area"	"New England City and Town Area"	"New England City and Town Area Division"	"Urban Area"	"Urban Area Central Place"	"Current Congressional District ***"	"State Legislative District Upper"	"State Legislative District Lower"	"Voting District"	"ZIP Code Tabulation Area (3-digit)"	"ZIP Code Tabulation Area (5-digit)"	"Subbarrio (FIPS)"	"School District (Elementary)"	"School District (Secondary)"	"School District (Unified)"	"Urban/Rural"	"Principal City Indicator"	"Traffic Analysis Zone"	"Urban Growth Area"	"Public Use Microdata Area - 5% File"	"Public Use Microdata Area - 1% File"	"Total Population:"	"Total Population: Native Born"	"Total Population: Foreign Born"	"Total Population: Foreign Born: Naturalized Citizen"	"Total Population: Foreign Born: Not a Citizen"	"% Total Population: Native Born"	"% Total Population: Foreign Born"	"% Total Population: Foreign Born: Naturalized Citizen"	"% Total Population: Foreign Born: Not a Citizen"	"Total Population"	"Total Population: Not Hispanic or Latino"	"Total Population: Not Hispanic or Latino: White Alone"	"Total Population: Not Hispanic or Latino: Black or African American Alone"	"Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Not Hispanic or Latino: Asian Alone"	"Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Not Hispanic or Latino: Some Other Race Alone"	"Total Population: Not Hispanic or Latino: Two or More races"	"Total Population: Hispanic or Latino"	"Total Population: Hispanic or Latino: White Alone"	"Total Population: Hispanic or Latino: Black or African American Alone"	"Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"Total Population: Hispanic or Latino: Asian Alone"	"Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Hispanic or Latino: Some Other Race Alone"	"Total Population: Hispanic or Latino: Two or More races"	"% Total Population: Not Hispanic or Latino"	"% Total Population: Not Hispanic or Latino: White Alone"	"% Total Population: Not Hispanic or Latino: Black or African American Alone"	"% Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Not Hispanic or Latino: Asian Alone"	"% Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Not Hispanic or Latino: Some Other Race Alone"	"% Total Population: Not Hispanic or Latino: Two or More races"	"% Total Population: Hispanic or Latino"	"% Total Population: Hispanic or Latino: White Alone"	"% Total Population: Hispanic or Latino: Black or African American Alone"	"% Total Population: Hispanic or Latino: American Indian and Alaska Native Alone"	"% Total Population: Hispanic or Latino: Asian Alone"	"% Total Population: Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Hispanic or Latino: Some Other Race Alone"	"% Total Population: Hispanic or Latino: Two or More races"	"Total Population:"	"Total Population: White Alone"	"Total Population: Black or African American Alone"	"Total Population: American Indian and Alaska Native Alone"	"Total Population: Asian Alone"	"Total Population: Native Hawaiian and Other Pacific Islander Alone"	"Total Population: Some Other Race Alone"	"Total Population: Two or More races"	"% Total Population: White Alone"	"% Total Population: Black or African American Alone"	"% Total Population: American Indian and Alaska Native Alone"	"% Total Population: Asian Alone"	"% Total Population: Native Hawaiian and Other Pacific Islander Alone"	"% Total Population: Some Other Race Alone"	"% Total Population: Two or More races"	"Civilian Population in Labor Force 16 Years and Over:"	"Civilian Population in Labor Force 16 Years and Over: Employed"	"Civilian Population in Labor Force 16 Years and Over: Unemployed"	"% Civilian Population in Labor Force 16 Years and Over: Employed"	"% Civilian Population in Labor Force 16 Years and Over: Unemployed"
Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	SE_A06001_001	SE_A06001_002	SE_A06001_003	SE_A06001_004	SE_A06001_005	PCT_SE_A06001_002	PCT_SE_A06001_003	PCT_SE_A06001_004	PCT_SE_A06001_005	SE_A04001_001	SE_A04001_002	SE_A04001_003	SE_A04001_004	SE_A04001_005	SE_A04001_006	SE_A04001_007	SE_A04001_008	SE_A04001_009	SE_A04001_010	SE_A04001_011	SE_A04001_012	SE_A04001_013	SE_A04001_014	SE_A04001_015	SE_A04001_016	SE_A04001_017	PCT_SE_A04001_002	PCT_SE_A04001_003	PCT_SE_A04001_004	PCT_SE_A04001_005	PCT_SE_A04001_006	PCT_SE_A04001_007	PCT_SE_A04001_008	PCT_SE_A04001_009	PCT_SE_A04001_010	PCT_SE_A04001_011	PCT_SE_A04001_012	PCT_SE_A04001_013	PCT_SE_A04001_014	PCT_SE_A04001_015	PCT_SE_A04001_016	PCT_SE_A04001_017	SE_A03001_001	SE_A03001_002	SE_A03001_003	SE_A03001_004	SE_A03001_005	SE_A03001_006	SE_A03001_007	SE_A03001_008	PCT_SE_A03001_002	PCT_SE_A03001_003	PCT_SE_A03001_004	PCT_SE_A03001_005	PCT_SE_A03001_006	PCT_SE_A03001_007	PCT_SE_A03001_008	SE_A17005_001	SE_A17005_002	SE_A17005_003	PCT_SE_A17005_002	PCT_SE_A17005_003
"01"	"04000US01"	"Alabama"	"Alabama"	"al"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"01"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4599030	4468981	130049	40583	89466	97.17	2.83	0.88	1.95	4599030	4487598	3171700	1204136	19524	45539	1416	2828	42455	111432	66258	5185	1068	343	1828	32162	4588	97.58	68.96	26.18	0.42	0.99	0.03	0.06	0.92	2.42	1.44	0.11	0.02	0.01	0.04	0.7	0.1	4599030	3237958	1209321	20592	45882	3244	34990	47043	70.41	26.3	0.45	1	0.07	0.76	1.02	2163696	2014473	149223	93.1	6.9
"02"	"04000US02"	"Alaska"	"Alaska"	"ak"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	670053	622987	47066	22414	24652	92.98	7.02	3.35	3.68	670053	632555	443944	20419	86688	29622	3526	616	47740	37498	16226	1057	1338	529	227	11352	6769	94.4	66.26	3.05	12.94	4.42	0.53	0.09	7.12	5.6	2.42	0.16	0.2	0.08	0.03	1.69	1.01	670053	460170	21476	88026	30151	3753	11968	54509	68.68	3.21	13.14	4.5	0.56	1.79	8.14	356243	322618	33625	90.56	9.44
"04"	"04000US04"	"Arizona"	"Arizona"	"az"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"04"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	6166318	5237235	929083	273700	655383	84.93	15.07	4.44	10.63	6166318	4362941	3668571	198854	252214	139386	9326	10410	84180	1803377	1072739	8983	25518	5472	1634	622940	66091	70.75	59.49	3.22	4.09	2.26	0.15	0.17	1.37	29.25	17.4	0.15	0.41	0.09	0.03	10.1	1.07	6166318	4741310	207837	277732	144858	10960	633350	150271	76.89	3.37	4.5	2.35	0.18	10.27	2.44	2936092	2792806	143286	95.12	4.88
"05"	"04000US05"	"Arkansas"	"Arkansas"	"ar"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"05"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2810872	2703526	107346	30552	76794	96.18	3.82	1.09	2.73	2810872	2672589	2145922	435987	21166	28016	1929	2325	37244	138283	62302	1693	1621	152	116	65939	6460	95.08	76.34	15.51	0.75	1	0.07	0.08	1.32	4.92	2.22	0.06	0.06	0.01	0	2.35	0.23	2810872	2208224	437680	22787	28168	2045	68264	43704	78.56	15.57	0.81	1	0.07	2.43	1.55	1344722	1251076	93646	93.04	6.96
"06"	"04000US06"	"California"	"California"	"ca"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"06"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	36457549	26555482	9902067	4264806	5637261	72.84	27.16	11.7	15.46	36457549	23383394	15600175	2201043	168486	4424529	120837	150184	718140	13074155	6209981	59605	97477	58723	8646	6146418	493305	64.14	42.79	6.04	0.46	12.14	0.33	0.41	1.97	35.86	17.03	0.16	0.27	0.16	0.02	16.86	1.35	36457549	21810156	2260648	265963	4483252	129483	6296602	1211445	59.82	6.2	0.73	12.3	0.36	17.27	3.32	17926638	16740938	1185700	93.39	6.61
"08"	"04000US08"	"Colorado"	"Colorado"	"co"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"08"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4753377	4263881	489496	151050	338446	89.7	10.3	3.18	7.12	4753377	3818967	3400011	170995	29223	127082	3700	9937	78019	934410	534960	6907	11938	5997	45	327505	47058	80.34	71.53	3.6	0.61	2.67	0.08	0.21	1.64	19.66	11.25	0.15	0.25	0.13	0	6.89	0.99	4753377	3934971	177902	41161	133079	3745	337442	125077	82.78	3.74	0.87	2.8	0.08	7.1	2.63	2574211	2432651	141560	94.5	5.5
"09"	"04000US09"	"Connecticut"	"Connecticut"	"ct"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"09"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3504809	3052451	452358	211832	240526	87.09	12.91	6.04	6.86	3504809	3112874	2610863	321569	6493	116322	914	13958	42755	391935	189481	11142	826	732	91	169230	20433	88.82	74.49	9.18	0.19	3.32	0.03	0.4	1.22	11.18	5.41	0.32	0.02	0.02	0	4.83	0.58	3504809	2800344	332711	7319	117054	1005	183188	63188	79.9	9.49	0.21	3.34	0.03	5.23	1.8	1880178	1764288	115890	93.84	6.16
"10"	"04000US10"	"Delaware"	"Delaware"	"de"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	853476	784754	68722	28987	39735	91.95	8.05	3.4	4.66	853476	799640	586778	173855	2519	23678	154	2092	10564	53836	28860	2990	62	735	0	19463	1726	93.69	68.75	20.37	0.3	2.77	0.02	0.25	1.24	6.31	3.38	0.35	0.01	0.09	0	2.28	0.2	853476	615638	176845	2581	24413	154	21555	12290	72.13	20.72	0.3	2.86	0.02	2.53	1.44	432376	406864	25512	94.1	5.9
"11"	"04000US11"	"District of Columbia"	"District of Columbia"	"dc"	"040"	"00"	"ACSSF"	"0000001"	""	""	""	""	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	581530	507710	73820	24219	49601	87.31	12.69	4.16	8.53	581530	533755	183519	319076	1563	19637	203	1969	7788	47775	16876	3029	340	190	0	26158	1182	91.78	31.56	54.87	0.27	3.38	0.03	0.34	1.34	8.22	2.9	0.52	0.06	0.03	0	4.5	0.2	581530	200395	322105	1903	19827	203	28127	8970	34.46	55.39	0.33	3.41	0.03	4.84	1.54	315088	288360	26728	91.52	8.48
