"Area Name-Legal/Statistical Area Description"	"Qualifying Name"	"Area (Land)"	"Area (Water)"	"Summary Level"	"Geographic Component"	"Region"	"Division"	"FIPS"	"State (FIPS)"	"Total Population"	"Not Hispanic or Latino"	"Not Hispanic or Latino: White Alone"	"Not Hispanic or Latino: Black or African American Alone"	"Not Hispanic or Latino: American Indian and Alaska Native Alone"	"Not Hispanic or Latino: Asian Alone"	"Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Not Hispanic or Latino: Some other race Alone"	"Not Hispanic or Latino: Two or more races"	"Hispanic or Latino"	"Hispanic or Latino: White Alone"	"Hispanic or Latino: Black or African American Alone"	"Hispanic or Latino: American Indian and Alaska Native Alone"	"Hispanic or Latino: Asian Alone"	"Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"Hispanic or Latino: Some other race Alone"	"Hispanic or Latino: Two or more races"	"% Not Hispanic or Latino"	"% Not Hispanic or Latino: White Alone"	"% Not Hispanic or Latino: Black or African American Alone"	"% Not Hispanic or Latino: American Indian and Alaska Native Alone"	"% Not Hispanic or Latino: Asian Alone"	"% Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Not Hispanic or Latino: Some other race Alone"	"% Not Hispanic or Latino: Two or more races"	"% Hispanic or Latino"	"% Hispanic or Latino: White Alone"	"% Hispanic or Latino: Black or African American Alone"	"% Hispanic or Latino: American Indian and Alaska Native Alone"	"% Hispanic or Latino: Asian Alone"	"% Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone"	"% Hispanic or Latino: Some other race Alone"	"% Hispanic or Latino: Two or more races"	"Total Population"	"Native Born"	"Foreign Born"	"Foreign Born: Naturalized Citizen"	"Foreign Born: Not a Citizen"	"% Native Born"	"% Foreign Born"	"% Foreign Born: Naturalized Citizen"	"% Foreign Born: Not a Citizen"	"Total Population"	"White Alone"	"Black or African American Alone"	"American Indian and Alaska Native Alone"	"Asian Alone"	"Native Hawaiian and Other Pacific Islander Alone"	"Some other race Alone"	"Two or more races"	"% White Alone"	"% Black or African American Alone"	"% American Indian and Alaska Native Alone"	"% Asian Alone"	"% Native Hawaiian and Other Pacific Islander Alone"	"% Some other race Alone"	"% Two or more races"	"Civilian Population In Labor Force 16 Years And Over"	"Civilian Population In Labor Force 16 Years And Over: Employed"	"Civilian Population In Labor Force 16 Years And Over: Unemployed"	"% Civilian Population In Labor Force 16 Years And Over: Employed"	"% Civilian Population In Labor Force 16 Years And Over: Unemployed"
Geo_NAME	Geo_QName	Geo_AREALAND	Geo_AREAWATR	Geo_SUMLEV	Geo_GEOCOMP	Geo_REGION	Geo_DIVISION	Geo_FIPS	Geo_STATE	SE_T015_001	SE_T015_002	SE_T015_003	SE_T015_004	SE_T015_005	SE_T015_006	SE_T015_007	SE_T015_008	SE_T015_009	SE_T015_010	SE_T015_011	SE_T015_012	SE_T015_013	SE_T015_014	SE_T015_015	SE_T015_016	SE_T015_017	PCT_SE_T015_002	PCT_SE_T015_003	PCT_SE_T015_004	PCT_SE_T015_005	PCT_SE_T015_006	PCT_SE_T015_007	PCT_SE_T015_008	PCT_SE_T015_009	PCT_SE_T015_010	PCT_SE_T015_011	PCT_SE_T015_012	PCT_SE_T015_013	PCT_SE_T015_014	PCT_SE_T015_015	PCT_SE_T015_016	PCT_SE_T015_017	SE_T201_001	SE_T201_002	SE_T201_003	SE_T201_004	SE_T201_005	PCT_SE_T201_002	PCT_SE_T201_003	PCT_SE_T201_004	PCT_SE_T201_005	SE_T014_001	SE_T014_002	SE_T014_003	SE_T014_004	SE_T014_005	SE_T014_006	SE_T014_007	SE_T014_008	PCT_SE_T014_002	PCT_SE_T014_003	PCT_SE_T014_004	PCT_SE_T014_005	PCT_SE_T014_006	PCT_SE_T014_007	PCT_SE_T014_008	SE_T073_001	SE_T073_002	SE_T073_003	PCT_SE_T073_002	PCT_SE_T073_003
"Alabama"	"Alabama"	"131426361901 "	"4338264191  "	"040"	"00"	"3"	"6"	"01"	"01"	4447100	4371270	3125819	1150076	21618	30989	1059	2623	39086	75830	36989	5854	812	357	350	26375	5093	98.29	70.29	25.86	0.49	0.7	0.02	0.06	0.88	1.71	0.83	0.13	0.02	0.01	0.01	0.59	0.11	4447100	4359328	87772	32200	55572	98.03	1.97	0.72	1.25	4447100	3162808	1155930	22430	31346	1409	28998	44179	71.12	25.99	0.5	0.7	0.03	0.65	0.99	2047100	1920189	126911	93.8	6.2
"Alaska"	"Alaska"	"1481346887193"	"236507354315"	"040"	"00"	"4"	"9"	"02"	"02"	626932	601080	423788	21073	96505	24741	3181	1338	30454	25852	10746	714	1538	375	128	8659	3692	95.88	67.6	3.36	15.39	3.95	0.51	0.21	4.86	4.12	1.71	0.11	0.25	0.06	0.02	1.38	0.59	626932	589762	37170	20011	17159	94.07	5.93	3.19	2.74	626932	434534	21787	98043	25116	3309	9997	34146	69.31	3.48	15.64	4.01	0.53	1.59	5.45	309485	281532	27953	90.97	9.03
"Arizona"	"Arizona"	"294312170780 "	"942059255   "	"040"	"00"	"4"	"8"	"04"	"04"	5130632	3835015	3274258	149941	233370	89315	5639	6120	76372	1295617	599353	8932	22509	2921	1094	590654	70154	74.75	63.82	2.92	4.55	1.74	0.11	0.12	1.49	25.25	11.68	0.17	0.44	0.06	0.02	11.51	1.37	5130632	4474449	656183	193944	462239	87.21	12.79	3.78	9.01	5130632	3873611	158873	255879	92236	6733	596774	146526	75.5	3.1	4.99	1.8	0.13	11.63	2.86	2366372	2233004	133368	94.36	5.64
"Arkansas"	"Arkansas"	"134855939370 "	"2876047706  "	"040"	"00"	"3"	"7"	"05"	"05"	2673400	2586534	2100135	416615	16702	19892	1494	1332	30364	86866	38463	2335	1106	328	174	39080	5380	96.75	78.56	15.58	0.62	0.74	0.06	0.05	1.14	3.25	1.44	0.09	0.04	0.01	0.01	1.46	0.2	2673400	2599710	73690	22055	51635	97.24	2.76	0.82	1.93	2673400	2138598	418950	17808	20220	1668	40412	35744	80	15.67	0.67	0.76	0.06	1.51	1.34	1249546	1173399	76147	93.91	6.09
"California"	"California"	"403932815196 "	"20036751351 "	"040"	"00"	"4"	"9"	"06"	"06"	33871648	22905092	15816790	2181926	178984	3648860	103736	71681	903115	10966556	4353269	81956	154362	48653	13225	5610560	704531	67.62	46.7	6.44	0.53	10.77	0.31	0.21	2.67	32.38	12.85	0.24	0.46	0.14	0.04	16.56	2.08	33871648	25007393	8864255	3473266	5390989	73.83	26.17	10.25	15.92	33871648	20170059	2263882	333346	3697513	116961	5682241	1607646	59.55	6.68	0.98	10.92	0.35	16.78	4.75	15829202	14718928	1110274	92.99	7.01
"Colorado"	"Colorado"	"268627156313 "	"973947089   "	"040"	"00"	"4"	"8"	"08"	"08"	4301261	3565660	3202880	158443	28982	93277	3845	5512	72721	735601	357125	6620	15259	1936	776	304419	49466	82.9	74.46	3.68	0.67	2.17	0.09	0.13	1.69	17.1	8.3	0.15	0.35	0.05	0.02	7.08	1.15	4301261	3931358	369903	116875	253028	91.4	8.6	2.72	5.88	4301261	3560005	165063	44241	95213	4621	309931	122187	82.77	3.84	1.03	2.21	0.11	7.21	2.84	2304454	2205194	99260	95.69	4.31
"Connecticut"	"Connecticut"	"12547983374  "	"1809174855  "	"040"	"00"	"1"	"1"	"09"	"09"	3405565	3085242	2638845	295571	7267	81564	958	8141	52896	320323	141510	14272	2372	749	408	139060	21952	90.59	77.49	8.68	0.21	2.4	0.03	0.24	1.55	9.41	4.16	0.42	0.07	0.02	0.01	4.08	0.64	3405565	3035598	369967	180267	189700	89.14	10.86	5.29	5.57	3405565	2780355	309843	9639	82313	1366	147201	74848	81.64	9.1	0.28	2.42	0.04	4.32	2.2	1757108	1664440	92668	94.73	5.27
"Delaware"	"Delaware"	"5059707268   "	"1387471795  "	"040"	"00"	"3"	"5"	"10"	"10"	783600	746323	567973	148435	2324	16110	234	1025	10222	37277	16800	2231	407	149	49	14830	2811	95.24	72.48	18.94	0.3	2.06	0.03	0.13	1.3	4.76	2.14	0.28	0.05	0.02	0.01	1.89	0.36	783600	738702	44898	19052	25846	94.27	5.73	2.43	3.3	783600	584773	150666	2731	16259	283	15855	13033	74.63	19.23	0.35	2.07	0.04	2.02	1.66	397360	376811	20549	94.83	5.17
"District of Columbia"	"District of Columbia"	"159033692    "	"17968995    "	"040"	"00"	"3"	"5"	"11"	"11"	572059	527106	159178	340088	1274	15039	273	1670	9584	44953	16923	3224	439	150	75	20280	3862	92.14	27.83	59.45	0.22	2.63	0.05	0.29	1.68	7.86	2.96	0.56	0.08	0.03	0.01	3.55	0.68	572059	498498	73561	22050	51511	87.14	12.86	3.85	9	572059	176101	343312	1713	15189	348	21950	13446	30.78	60.01	0.3	2.66	0.06	3.84	2.35	294952	263108	31844	89.2	10.8
"Florida"	"Florida"	"139669812564 "	"30633792058 "	"040"	"00"	"3"	"5"	"12"	"12"	15982378	13299663	10458509	2264268	42358	261693	6887	28994	236954	2682715	2006520	71237	11183	4563	1738	448113	139361	83.21	65.44	14.17	0.27	1.64	0.04	0.18	1.48	16.79	12.55	0.45	0.07	0.03	0.01	2.8	0.87	15982378	13311550	2670828	1207502	1463326	83.29	16.71	7.56	9.16	15982378	12465029	2335505	53541	266256	8625	477107	376315	77.99	14.61	0.34	1.67	0.05	2.99	2.35	7407458	6995047	412411	94.43	5.57
"Georgia"	"Georgia"	"149976204860 "	"3933225333  "	"040"	"00"	"3"	"5"	"13"	"13"	8186453	7751226	5128661	2331465	17670	171513	3278	11275	87364	435227	198620	18077	4067	1657	968	185014	26824	94.68	62.65	28.48	0.22	2.1	0.04	0.14	1.07	5.32	2.43	0.22	0.05	0.02	0.01	2.26	0.33	8186453	7609180	577273	169232	408041	92.95	7.05	2.07	4.98	8186453	5327281	2349542	21737	173170	4246	196289	114188	65.07	28.7	0.27	2.12	0.05	2.4	1.39	4062808	3839756	223052	94.51	5.49
"Hawaii"	"Hawaii"	"16634521307  "	"11676592338 "	"040"	"00"	"4"	"9"	"15"	"15"	1211537	1123838	277091	20829	2539	494149	108441	2089	218700	87699	17011	1174	996	9719	5098	13058	40643	92.76	22.87	1.72	0.21	40.79	8.95	0.17	18.05	7.24	1.4	0.1	0.08	0.8	0.42	1.08	3.35	1211537	999308	212229	127532	84697	82.48	17.52	10.53	6.99	1211537	294102	22003	3535	503868	113539	15147	259343	24.28	1.82	0.29	41.59	9.37	1.25	21.41	573795	537909	35886	93.75	6.25
"Idaho"	"Idaho"	"214314284702 "	"2131225477  "	"040"	"00"	"4"	"8"	"16"	"16"	1293953	1192263	1139291	4889	15789	11641	1200	1192	18261	101690	38013	567	1856	248	108	53550	7348	92.14	88.05	0.38	1.22	0.9	0.09	0.09	1.41	7.86	2.94	0.04	0.14	0.02	0.01	4.14	0.57	1293953	1229873	64080	21203	42877	95.05	4.95	1.64	3.31	1293953	1177304	5456	17645	11889	1308	54742	25609	90.99	0.42	1.36	0.92	0.1	4.23	1.98	636237	599453	36784	94.22	5.78
"Illinois"	"Illinois"	"143960815935 "	"6036720674  "	"040"	"00"	"2"	"3"	"17"	"17"	12419293	10889031	8424140	1856152	18232	419916	3116	13479	153996	1530262	701331	20723	12774	3687	1494	709233	81020	87.68	67.83	14.95	0.15	3.38	0.03	0.11	1.24	12.32	5.65	0.17	0.1	0.03	0.01	5.71	0.65	12419293	10890235	1529058	603521	925537	87.69	12.31	4.86	7.45	12419293	9125471	1876875	31006	423603	4610	722712	235016	73.48	15.11	0.25	3.41	0.04	5.82	1.89	6208597	5833185	375412	93.95	6.05
"Indiana"	"Indiana"	"92894848176  "	"1426646391  "	"040"	"00"	"2"	"3"	"18"	"18"	6080485	5865949	5219373	505462	13654	58424	1573	6348	61115	214536	100649	4572	2161	702	432	91463	14557	96.47	85.84	8.31	0.22	0.96	0.03	0.1	1.01	3.53	1.66	0.08	0.04	0.01	0.01	1.5	0.24	6080485	5893951	186534	70983	115551	96.93	3.07	1.17	1.9	6080485	5320022	510034	15815	59126	2005	97811	75672	87.49	8.39	0.26	0.97	0.03	1.61	1.24	3117897	2965174	152723	95.1	4.9
"Iowa"	"Iowa"	"144700963406 "	"1041685824  "	"040"	"00"	"2"	"4"	"19"	"19"	2926324	2843851	2710344	60744	7955	36345	888	2103	25472	82473	38296	1109	1034	290	121	35317	6306	97.18	92.62	2.08	0.27	1.24	0.03	0.07	0.87	2.82	1.31	0.04	0.04	0.01	0	1.21	0.22	2926324	2835239	91085	29951	61134	96.89	3.11	1.02	2.09	2926324	2748640	61853	8989	36635	1009	37420	31778	93.93	2.11	0.31	1.25	0.03	1.28	1.09	1554722	1489816	64906	95.83	4.17
"Kansas"	"Kansas"	"211899555547 "	"1196479516  "	"040"	"00"	"2"	"4"	"20"	"20"	2688418	2500166	2233997	151407	22322	46301	1154	2477	42508	188252	79947	2791	2614	505	159	88248	13988	93	83.1	5.63	0.83	1.72	0.04	0.09	1.58	7	2.97	0.1	0.1	0.02	0.01	3.28	0.52	2688418	2553683	134735	44763	89972	94.99	5.01	1.67	3.35	2688418	2313944	154198	24936	46806	1313	90725	56496	86.07	5.74	0.93	1.74	0.05	3.37	2.1	1374698	1316283	58415	95.75	4.25
"Kentucky"	"Kentucky"	"102895503258 "	"1763380947  "	"040"	"00"	"3"	"6"	"21"	"21"	4041769	3981830	3608013	293639	7939	29368	1275	3846	37750	59939	32876	2355	677	376	185	18777	4693	98.52	89.27	7.27	0.2	0.73	0.03	0.1	0.93	1.48	0.81	0.06	0.02	0.01	0	0.46	0.12	4041769	3961498	80271	27569	52702	98.01	1.99	0.68	1.3	4041769	3640889	295994	8616	29744	1460	22623	42443	90.08	7.32	0.21	0.74	0.04	0.56	1.05	1907614	1798264	109350	94.27	5.73
"Louisiana"	"Louisiana"	"112824665700 "	"21439542252 "	"040"	"00"	"3"	"7"	"22"	"22"	4468976	4361238	2794391	1443390	24129	54256	1076	4736	39260	107738	61770	8554	1348	502	164	26395	9005	97.59	62.53	32.3	0.54	1.21	0.02	0.11	0.88	2.41	1.38	0.19	0.03	0.01	0	0.59	0.2	4468976	4353091	115885	56102	59783	97.41	2.59	1.26	1.34	4468976	2856161	1451944	25477	54758	1240	31131	48265	63.91	32.49	0.57	1.23	0.03	0.7	1.08	1997995	1851777	146218	92.68	7.32
"Maine"	"Maine"	"79931052601  "	"11714777245 "	"040"	"00"	"1"	"1"	"23"	"23"	1274923	1265563	1230297	6440	6911	9014	334	836	11731	9360	5717	320	187	97	48	2075	916	99.27	96.5	0.51	0.54	0.71	0.03	0.07	0.92	0.73	0.45	0.03	0.01	0.01	0	0.16	0.07	1274923	1238232	36691	20252	16439	97.12	2.88	1.59	1.29	1274923	1236014	6760	7098	9111	382	2911	12647	96.95	0.53	0.56	0.71	0.03	0.23	0.99	655176	624011	31165	95.24	4.76
"Maryland"	"Maryland"	"25314076865  "	"6819073655  "	"040"	"00"	"3"	"5"	"24"	"24"	5296486	5068570	3286547	1464735	13312	209738	1913	9379	82946	227916	104761	12676	2111	1191	390	86146	20641	95.7	62.05	27.65	0.25	3.96	0.04	0.18	1.57	4.3	1.98	0.24	0.04	0.02	0.01	1.63	0.39	5296486	4778171	518315	234711	283604	90.21	9.79	4.43	5.35	5296486	3391308	1477411	15423	210929	2303	95525	103587	64.03	27.89	0.29	3.98	0.04	1.8	1.96	2737359	2608457	128902	95.29	4.71
"Massachusetts"	"Massachusetts"	"20305551568  "	"7030651706  "	"040"	"00"	"1"	"1"	"25"	"25"	6349097	5920368	5198359	318329	11264	236786	1706	43586	110338	428729	168927	25125	3751	1338	783	193138	35667	93.25	81.88	5.01	0.18	3.73	0.03	0.69	1.74	6.75	2.66	0.4	0.06	0.02	0.01	3.04	0.56	6349097	5576114	772983	337617	435366	87.83	12.17	5.32	6.86	6349097	5367286	343454	15015	238124	2489	236724	146005	84.54	5.41	0.24	3.75	0.04	3.73	2.3	3312039	3161087	150952	95.44	4.56
"Michigan"	"Michigan"	"147121215368 "	"103372337909"	"040"	"00"	"2"	"3"	"26"	"26"	9938444	9614567	7806691	1402047	53421	175311	2145	11465	163487	323877	159362	10695	5058	1199	547	118087	28929	96.74	78.55	14.11	0.54	1.76	0.02	0.12	1.64	3.26	1.6	0.11	0.05	0.01	0.01	1.19	0.29	9938444	9414855	523589	239955	283634	94.73	5.27	2.41	2.85	9938444	7966053	1412742	58479	176510	2692	129552	192416	80.15	14.21	0.59	1.78	0.03	1.3	1.94	4922453	4637461	284992	94.21	5.79
"Minnesota"	"Minnesota"	"206189140788 "	"18981482285 "	"040"	"00"	"2"	"4"	"27"	"27"	4919479	4776097	4337143	168813	52009	141083	1714	5031	70304	143382	63139	2918	2958	885	265	60779	12438	97.09	88.16	3.43	1.06	2.87	0.03	0.1	1.43	2.91	1.28	0.06	0.06	0.02	0.01	1.24	0.25	4919479	4659016	260463	97308	163155	94.71	5.29	1.98	3.32	4919479	4400282	171731	54967	141968	1979	65810	82742	89.45	3.49	1.12	2.89	0.04	1.34	1.68	2689115	2580046	109069	95.94	4.06
"Mississippi"	"Mississippi"	"121488450732 "	"3945172740  "	"040"	"00"	"3"	"6"	"28"	"28"	2844658	2805089	1727908	1028473	11224	18349	569	1294	17272	39569	18191	5336	428	277	98	12490	2749	98.61	60.74	36.15	0.39	0.65	0.02	0.05	0.61	1.39	0.64	0.19	0.02	0.01	0	0.44	0.1	2844658	2804750	39908	16098	23810	98.6	1.4	0.57	0.84	2844658	1746099	1033809	11652	18626	667	13784	20021	61.38	36.34	0.41	0.65	0.02	0.48	0.7	1267092	1173314	93778	92.6	7.4
