State,Year,Total
Alabama,2010," 89,200 "
Alaska,2010," 8,900 "
Arizona,2010," 299,100 "
Arkansas,2010," 61,500 "
California,2010," 2,915,700 "
Colorado,2010," 177,500 "
Connecticut,2010," 116,800 "
Delaware,2010," 18,500 "
District of Columbia,2010," 14,300 "
Florida,2010," 785,800 "
Georgia,2010," 396,000 "
Hawaii,2010," 38,800 "
Idaho,2010," 33,000 "
Illinois,2010," 593,800 "
Indiana,2010," 103,200 "
Iowa,2010," 45,700 "
Kansas,2010," 79,700 "
Kentucky,2010," 48,800 "
Louisiana,2010," 57,200 "
Maine,2010," 1,800 "
Maryland,2010," 237,600 "
Massachusetts,2010," 171,000 "
Michigan,2010," 97,500 "
Minnesota,2010," 96,600 "
Mississippi,2010," 25,900 "
Missouri,2010," 60,000 "
Montana,2010," 1,000 "
Nebraska,2010," 37,100 "
Nevada,2010," 185,700 "
New Hampshire,2010," 9,800 "
New Jersey,2010," 486,900 "
New Mexico,2010," 80,800 "
New York,2010," 916,600 "
North Carolina,2010," 334,900 "
North Dakota,2010, 800 
Ohio,2010," 93,600 "
Oklahoma,2010," 91,900 "
Oregon,2010," 129,600 "
Pennsylvania,2010," 151,300 "
Rhode Island,2010," 24,300 "
South Carolina,2010," 95,800 "
South Dakota,2010," 2,900 "
Tennessee,2010," 120,400 "
Texas,2010," 1,718,100 "
Utah,2010," 91,500 "
Vermont,2010," 1,500 "
Virginia,2010," 251,500 "
Washington,2010," 240,200 "
West Virginia,2010," 2,000 "
Wisconsin,2010," 77,600 "
Wyoming,2010," 5,200 "
Alabama,2011," 72,800 "
Alaska,2011," 6,000 "
Arizona,2011," 276,800 "
Arkansas,2011," 54,500 "
California,2011," 2,823,900 "
Colorado,2011," 181,900 "
Connecticut,2011," 115,900 "
Delaware,2011," 21,600 "
District of Columbia,2011," 14,000 "
Florida,2011," 753,500 "
Georgia,2011," 354,700 "
Hawaii,2011," 40,500 "
Idaho,2011," 38,900 "
Illinois,2011," 546,300 "
Indiana,2011," 105,900 "
Iowa,2011," 42,200 "
Kansas,2011," 68,700 "
